"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","24-351",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","27-323",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Dimitar Rangelov",NA,"BUL","FW,MF","26-263",21,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Nelson Valdez",NA,"PAR","FW","25-336",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-103",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","21-055",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Sven Bender",NA,"GER","DF,MF","20-186",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","23-320",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Dedê",NA,"BRA","DF","31-195",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Dortmund","4-4-2",2,NA,"Nuri Şahin (P) · 60&rsquor; Lucas Barrios · 90&rsquor;","2","0","Hertha BSC","4-4-1-1",0,NA,"","1","0","https://fbref.com/en/matches/e7972828/Dortmund-Hertha-BSC-October-30-2009-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","21-281",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
