"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Anthony Modeste",20,"FRA","FW","34-141",90,0,0,0,0,3,1,0,0,32,1,0,0,0.5,0.5,0.4,2,0,9,19,47.4,0,17,0,0,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","LW","18-025",43,0,0,0,0,1,0,0,0,14,0,0,0,0.4,0.4,0,2,1,5,8,62.5,3,12,1,2,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Thorgan Hazard",10,"BEL","LW,LM,RW","29-157",47,0,0,0,0,2,1,0,0,29,2,2,0,0.3,0.3,0.1,2,0,17,21,81,5,18,3,1,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","RW,LW","26-123",82,0,1,0,0,1,0,0,0,66,1,0,0,0.1,0.1,0.5,6,1,39,52,75,8,48,3,3,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Gio Reyna",7,"USA","RW,LW","19-293",8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,50,0,1,0,0,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","CM,LW","33-094",89,1,0,0,0,3,1,1,0,47,3,0,0,0.3,0.3,0,4,0,30,37,81.1,4,40,2,3,2
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","RW,CM","17-286",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Salih Özcan",6,"TUR","CM","24-234",90,0,0,0,0,0,0,0,0,66,1,1,2,0,0,0,1,0,52,63,82.5,2,45,1,2,2
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","CM","19-065",90,0,0,0,0,2,1,1,0,59,2,0,3,0.1,0.1,0.1,2,0,32,41,78,10,41,4,3,1
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Marius Wolf",17,"GER","LB","27-098",82,0,0,0,0,2,1,0,0,67,3,1,2,0.1,0.1,0.4,5,0,46,57,80.7,4,44,0,2,2
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Niklas Süle",25,"GER","CB,LB","26-364",8,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,4,4,100,0,3,0,0,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Nico Schlotterbeck",4,"GER","CB","22-275",90,0,0,0,0,0,0,0,0,60,1,1,2,0,0,0,1,0,42,50,84,10,41,0,1,0
"Fußball-Bundesliga","2022-09-02","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-5-1",1,2,"Marco Reus · 16&rsquor;","3","0","Hoffenheim","3-5-2",0,0.5,"","4","0","https://fbref.com/en/matches/0d4e976a/Dortmund-Hoffenheim-September-2-2022-Bundesliga","Dortmund","Home","Mats Hummels",15,"GER","CB","33-260",90,0,0,0,0,1,0,1,0,50,5,2,2,0.3,0.3,0,0,0,33,35,94.3,3,27,0,0,0
