"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Nelson Valdez",NA,"PAR","FW","25-253",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","27-240",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","24-268",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Tamás Hajnal",NA,"HUN","MF","28-146",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Mats Hummels",NA,"GER","DF","20-235",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Tinga",NA,"BRA","MF","31-207",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","23-237",69,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-020",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","20-337",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Dortmund","4-1-2-1-2",1,NA,"Marvin Matip (OG) · 75&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","1","0","https://fbref.com/en/matches/1ed266f5/Dortmund-Koln-August-8-2009-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","21-198",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
