"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","26-111",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","22-228",72,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","25-080",18,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Mario Götze",NA,"GER","FW,MF","18-274",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Sebastian Kehl",NA,"GER","DF,MF","31-019",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Robert Lewandowski",NA,"POL","FW","22-195",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","22-180",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Antônio da Silva",NA,"BRA","MF","32-264",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Sven Bender",NA,"GER","DF,MF","21-311",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",1,NA,"Robert Lewandowski · 44&rsquor;","0","0","Köln","4-2-3-1",0,NA,"","3","0","https://fbref.com/en/matches/55690890/Dortmund-Koln-March-4-2011-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","23-041",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
