"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Thorgan Hazard",10,"BEL","FW","28-215",57,1,0,0,0,1,1,0,0,21,0,1,2,0.4,0.4,0.1,1,0,8,16,50,1,13,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","LW,FW","22-294",33,0,0,0,0,2,1,0,0,14,1,0,0,0.5,0.5,0,2,0,8,8,100,0,13,2,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","32-152",90,0,0,0,0,2,1,0,0,37,3,1,1,0.3,0.3,0,2,0,22,27,81.5,3,21,2,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","AM,RW","25-181",86,0,1,0,0,0,0,0,0,49,1,0,0,0,0,0.2,4,2,25,39,64.1,3,27,1,8,5
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Ansgar Knauff",36,"GER","RW","19-293",4,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,100,0,2,1,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Axel Witsel",28,"BEL","CM,DM","32-291",90,0,0,0,0,0,0,0,0,41,3,1,1,0,0,0,1,0,30,33,90.9,2,21,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","CM,DM","18-123",90,0,1,0,0,0,0,1,0,58,3,1,4,0,0,0.4,1,1,32,39,82.1,0,28,2,4,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Marius Wolf",39,"GER","WB,LB","26-156",69,0,0,0,0,0,0,0,0,55,2,1,2,0,0,0.3,2,0,34,43,79.1,3,31,2,3,3
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Felix Passlack",30,"GER","LB","23-154",21,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,0,10,12,83.3,1,12,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Thomas Meunier",24,"BEL","WB,RB","30-048",90,0,0,0,0,1,1,1,0,52,1,1,2,0.1,0.1,0,0,0,23,42,54.8,3,28,1,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Marin Pongračić",34,"CRO","CB","24-049",57,0,0,0,0,0,0,0,0,36,1,0,1,0,0,0,0,0,26,31,83.9,0,27,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Steffen Tigges",27,"GER","FW,CB","23-091",33,1,0,0,0,1,1,0,0,20,0,0,1,0,0,0.4,1,0,9,15,60,2,10,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Dortmund","3-4-3",2,1.4,"Thorgan Hazard · 40&rsquor; Steffen Tigges · 63&rsquor;","2","0","Köln","4-1-3-2",0,1.3,"","3","0","https://fbref.com/en/matches/317a96ac/Dortmund-Koln-October-30-2021-Bundesliga","Dortmund","Home","Mats Hummels",15,"GER","CB","32-318",90,0,0,0,0,1,0,0,0,56,1,2,1,0.1,0.1,0,0,0,38,48,79.2,2,29,1,0,0
