"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","25-113",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","21-230",84,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Julian Koch",NA,"GER","DF,MF","19-115",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","24-082",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Dedê",NA,"BRA","DF","31-322",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Mohamed Zidan",NA,"EGY","FW","28-085",76,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Tamás Hajnal",NA,"HUN","MF","28-356",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","21-182",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Sebastian Kehl",NA,"GER","DF,MF","30-021",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","22-043",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Dortmund","4-2-3-1",3,NA,"Kevin Großkreutz · 13&rsquor; Mohamed Zidan · 54&rsquor; Mohamed Zidan · 70&rsquor;","0","0","Mönchengladbach","4-4-2",0,NA,"","3","0","https://fbref.com/en/matches/7a3108b8/Dortmund-Monchengladbach-March-6-2010-Bundesliga","Dortmund","Home","Felipe Santana",NA,"BRA","DF","23-354",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
