"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Sébastien Haller",9,"CIV","FW","28-325",78,2,0,0,0,5,2,0,0,20,1,1,0,0.6,0.6,0,4,1,8,11,72.7,2,11,3,2,2
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","FW","18-174",12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,2,100,0,2,0,1,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Karim Adeyemi",27,"GER","LW","21-115",90,0,0,0,0,2,1,0,0,43,1,0,2,0.1,0.1,0.1,7,0,25,31,80.6,0,30,4,6,3
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","RW","24-124",68,1,2,0,0,7,4,0,0,45,1,0,0,1.1,1.1,0.6,11,3,25,33,75.8,4,32,7,8,5
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Gio Reyna",7,"USA","RW","20-181",22,1,0,0,0,3,2,0,0,17,2,0,1,0.9,0.9,0,3,1,12,12,100,0,9,1,0,0
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","AM","27-011",67,0,0,0,0,1,0,0,0,49,2,0,2,0.1,0.1,0.1,10,3,32,42,76.2,8,31,4,2,2
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","33-347",23,0,0,0,0,1,0,0,0,21,2,0,0,0,0,0,3,0,15,16,93.8,3,11,0,1,1
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Emre Can",23,"GER","DM,CB","29-121",90,0,0,0,0,3,0,0,0,62,2,0,2,0,0,0.1,3,0,46,50,92,3,44,1,1,1
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","DM","19-318",90,1,0,1,1,5,1,0,0,75,2,1,1,1.2,0.4,0.1,4,0,53,59,89.8,10,59,6,3,2
"Fußball-Bundesliga","2023-05-13","Fußball-Bundesliga (Matchweek 32)","Dortmund","4-2-3-1",5,4.5,"Donyell Malen · 5&rsquor; Jude Bellingham (P) · 18&rsquor; Sébastien Haller · 20&rsquor; Sébastien Haller · 32&rsquor; Gio Reyna · 90+4&rsquor;","0","0","Mönchengladbach","4-2-3-1",2,2,"Ramy Bensebaini (P) · 75&rsquor; Lars Stindl · 85&rsquor;","2","0","https://fbref.com/en/matches/9446dc35/Dortmund-Monchengladbach-May-13-2023-Bundesliga","Dortmund","Home","Julian Ryerson",26,"NOR","LB","25-177",58,0,0,0,0,0,0,0,0,46,0,0,2,0,0,0.1,3,0,31,40,77.5,1,33,2,4,1
