"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Robert Lewandowski",NA,"POL","FW","22-154",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Marco Stiepermann",NA,"GER","FW,MF","19-347",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Kevin Großkreutz",NA,"GER","DF,FW","22-187",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Markus Feulner",NA,"GER","MF","28-344",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Jakub Błaszczykowski",NA,"POL","MF","25-039",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Lucas Barrios",NA,"PAR","FW","26-070",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Mario Götze",NA,"GER","FW,MF","18-233",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Nuri Şahin",NA,"TUR","MF","22-139",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Antônio da Silva",NA,"BRA","MF","32-223",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Marcel Schmelzer",NA,"GER","DF","23-000",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Mats Hummels",NA,"GER","DF","22-037",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Neven Subotić",NA,"SRB","DF","22-043",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Łukasz Piszczek",NA,"POL","DF,MF","25-233",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Dortmund","Home","Roman Weidenfeller",NA,"GER","GK","30-169",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Stuttgart","Away","Pavel Pogrebnyak",NA,"RUS","FW","27-075",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Stuttgart","Away","Sven Schipplock",NA,"GER","FW","22-075",69,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Stuttgart","Away","Martin Harnik",NA,"AUT","FW,MF","23-226",21,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Dortmund","4-2-3-1",1,NA,"Mario Götze · 43&rsquor;","0","0","Stuttgart","4-4-2",1,NA,"Pavel Pogrebnyak · 84&rsquor;","2","0","https://fbref.com/en/matches/e519c6d3/Dortmund-Stuttgart-January-22-2011-Bundesliga","Stuttgart","Away","Arthur Boka",NA,"CIV","DF","27-295",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
