"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Niclas Füllkrug",14,"GER","FW","30-240",82,1,0,0,0,4,2,0,0,24,2,0,0,0.8,0.8,0,1,1,8,16,50,1,11,0,1,1
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Sébastien Haller",9,"CIV","FW","29-107",8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,3,100,1,3,0,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","LW","19-060",45,0,0,0,0,2,0,0,0,25,0,0,0,0.1,0.1,0,1,0,16,18,88.9,0,17,2,4,1
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","LW","27-158",45,1,0,0,0,2,2,0,0,26,0,1,1,0.4,0.4,0,2,1,13,19,68.4,2,8,2,1,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","RW","24-271",63,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0,0,0,15,21,71.4,0,15,1,4,2
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Gio Reyna",7,"USA","RW","20-328",27,0,0,0,0,0,0,0,0,21,2,0,1,0,0,0,0,0,12,16,75,2,8,1,1,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","34-129",82,0,1,0,0,0,0,0,0,42,0,0,0,0,0,0.8,4,1,27,36,75,3,16,1,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Salih Özcan",6,"TUR","AM","25-269",8,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,4,5,80,0,3,0,0,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Felix Nmecha",8,"GER","DM","22-362",90,0,1,0,0,1,0,0,0,47,2,3,5,0.1,0.1,0,2,1,28,34,82.4,2,23,1,1,0
"Fußball-Bundesliga","2023-10-07","Fußball-Bundesliga (Matchweek 7)","Dortmund","4-2-3-1",4,1.6,"Niclas Füllkrug · 7&rsquor; Nico Schlotterbeck · 49&rsquor; Julian Brandt · 54&rsquor; Julian Ryerson · 71&rsquor;","1","0","Union Berlin","5-3-2",2,1.4,"Robin Gosens · 9&rsquor; Leonardo Bonucci (P) · 31&rsquor;","1","0","https://fbref.com/en/matches/4661d112/Dortmund-Union-Berlin-October-7-2023-Bundesliga","Dortmund","Home","Emre Can",23,"GER","DM","29-268",90,0,0,0,0,0,0,0,0,96,2,0,1,0,0,0,3,0,78,85,91.8,8,56,3,1,0
