"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Erling Haaland",9,"NOR","FW","21-060",90,2,0,0,0,4,2,0,0,35,0,0,1,0.5,0.5,0,1,0,13,21,61.9,1,14,1,0,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","LW","22-253",72,0,0,0,0,2,2,0,0,41,0,0,1,0.1,0.1,0,1,1,20,32,62.5,2,28,5,1,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Marius Wolf",39,"GER","LW","26-115",18,0,0,0,0,1,0,0,0,13,2,2,0,0,0,0,0,0,5,6,83.3,0,5,0,0,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","RW","32-111",88,0,0,0,0,3,0,0,0,60,0,0,1,0.2,0.2,0,4,0,44,53,83,2,51,1,4,4
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","RW","16-303",2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Mahmoud Dahoud",8,"GER","LM","25-261",83,0,0,0,0,1,0,0,0,62,1,4,1,0.1,0.1,0.1,3,1,41,50,82,5,46,2,2,1
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Thorgan Hazard",10,"BEL","LM","28-174",7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,6,50,0,1,0,0,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Axel Witsel",28,"BEL","CM","32-250",90,0,0,0,0,0,0,1,0,73,2,4,0,0,0,0,1,0,58,64,90.6,3,49,1,1,1
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","RM","18-082",90,0,0,0,0,0,0,0,0,63,0,1,0,0,0,0.1,3,0,48,56,85.7,7,40,0,3,2
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Raphaël Guerreiro",13,"POR","LB","27-271",90,1,0,0,0,2,1,0,0,108,2,1,0,0.1,0.1,0.1,5,2,85,97,87.6,12,67,2,2,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Mats Hummels",15,"GER","CB","32-277",88,0,1,0,0,0,0,1,0,70,2,2,0,0,0,0.1,2,1,58,65,89.2,3,47,1,0,0
"Fußball-Bundesliga","2021-09-19","Fußball-Bundesliga (Matchweek 5)","Dortmund","4-3-3",4,0.9,"Raphaël Guerreiro · 10&rsquor; Erling Haaland · 24&rsquor; Marvin Friedrich (OG) · 52&rsquor; Erling Haaland · 83&rsquor;","2","0","Union Berlin","3-4-1-2",2,1.6,"Max Kruse (P) · 57&rsquor; Andreas Voglsammer · 81&rsquor;","3","0","https://fbref.com/en/matches/3fe1eafa/Dortmund-Union-Berlin-September-19-2021-Bundesliga","Dortmund","Home","Marin Pongračić",34,"CRO","CB","24-008",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
