"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Anthony Modeste",20,"FRA","FW","34-128",80,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,5,9,55.6,0,4,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","FW","17-273",10,0,0,0,0,1,1,0,0,4,0,0,0,0.3,0.3,0,0,0,2,2,100,0,2,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","LW","18-012",61,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,0,7,11,63.6,0,18,1,8,2
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Gio Reyna",7,"USA","LW","19-280",29,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0.1,1,0,4,9,44.4,1,7,2,1,1
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","RW","26-110",61,1,0,0,0,1,1,0,0,35,1,1,1,0,0,0,0,0,15,25,60,1,19,1,3,2
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Thorgan Hazard",10,"BEL","RW","29-144",29,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,0,10,14,71.4,0,9,1,2,1
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","33-081",90,0,2,0,0,0,0,1,0,37,2,0,1,0,0,0.1,3,2,21,28,75,4,23,3,1,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Mahmoud Dahoud",8,"GER","DM","26-231",17,0,0,0,0,1,0,0,0,19,1,0,0,0,0,0,0,0,14,17,82.4,1,12,0,0,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Emre Can",23,"GER","DM","28-220",73,0,0,0,0,0,0,1,0,56,3,1,2,0,0,0,1,0,29,38,76.3,2,32,0,2,0
"Fußball-Bundesliga","2022-08-20","Fußball-Bundesliga (Matchweek 3)","Dortmund","4-2-3-1",2,0.5,"Julian Brandt · 45+2&rsquor; Raphaël Guerreiro · 77&rsquor;","4","0","Werder Bremen","3-5-2",3,1.3,"Lee Buchanan · 89&rsquor; Niklas Schmidt · 90+3&rsquor; Oliver Burke · 90+5&rsquor;","1","0","https://fbref.com/en/matches/7c429f46/Dortmund-Werder-Bremen-August-20-2022-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","DM","19-052",90,0,0,0,0,1,0,0,0,56,1,1,5,0.1,0.1,0,1,1,34,40,85,11,35,6,4,2
