"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Erling Haaland",9,"NOR","FW","21-269",90,2,1,0,0,3,3,0,0,35,0,0,0,1.4,1.4,0.3,4,3,16,22,72.7,1,21,2,4,3
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","AM","32-320",90,0,2,0,0,2,1,0,0,53,2,0,1,0.5,0.5,1.4,6,4,35,44,79.5,5,36,4,5,2
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","AM","25-349",64,0,2,0,0,1,0,0,0,40,2,0,0,0,0,0.2,5,4,29,33,87.9,8,28,2,4,2
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","AM","17-147",26,0,0,0,0,0,0,0,0,10,0,1,2,0,0,0,0,0,5,6,83.3,0,6,0,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","CM","18-291",90,0,0,0,0,0,0,0,0,94,4,1,2,0,0,0.3,1,0,63,72,87.5,7,62,4,3,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Axel Witsel",28,"BEL","CM","33-094",76,1,0,0,0,1,1,0,0,52,0,2,2,0.3,0.3,0.5,3,0,42,43,97.7,3,40,2,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Reinier",20,"BRA","CM","20-087",14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,100,0,3,0,1,1
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Tom Rothe",36,"GER","WB","17-169",87,1,0,0,0,2,1,0,0,65,3,1,2,0.2,0.2,0,0,0,38,52,73.1,0,36,1,3,1
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Jamie Bynoe-Gittens",43,"ENG","WB","17-251",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-04-16","Fußball-Bundesliga (Matchweek 30)","Dortmund","3-4-3",6,3,"Tom Rothe · 24&rsquor; Axel Witsel · 26&rsquor; Manuel Akanji · 28&rsquor; Emre Can · 34&rsquor; Erling Haaland · 38&rsquor; Erling Haaland · 54&rsquor;","0","0","Wolfsburg","3-4-3",1,1.5,"Ridle Baku · 81&rsquor;","2","0","https://fbref.com/en/matches/2692dcc4/Dortmund-Wolfsburg-April-16-2022-Bundesliga","Dortmund","Home","Marius Wolf",39,"GER","WB","26-324",87,0,1,0,0,1,0,0,0,36,0,1,0,0.1,0.1,0,2,1,27,30,90,1,28,2,1,1
