"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Sébastien Haller",9,"CIV","FW","28-319",62,1,1,0,0,2,1,0,0,18,1,0,1,0.5,0.5,0.2,1,1,11,13,84.6,2,10,0,1,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Youssoufa Moukoko",18,"GER","FW","18-168",28,0,0,0,0,1,1,0,0,6,0,0,1,0.4,0.4,0.1,1,0,1,4,25,0,4,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Karim Adeyemi",27,"GER","LW","21-109",68,2,1,0,1,2,2,0,0,33,1,0,1,1,0.2,0.6,4,1,19,23,82.6,7,24,3,5,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Gio Reyna",7,"USA","LW","20-175",22,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,3,0,11,14,78.6,0,12,2,1,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Donyell Malen",21,"NED","RW","24-118",61,1,0,0,0,2,1,0,0,36,1,0,0,1.1,1.1,0,1,0,22,26,84.6,5,22,2,7,3
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Marco Reus",11,"GER","RW,RM","33-341",29,0,0,0,0,2,1,0,0,14,0,1,0,0.1,0.1,0.1,2,0,8,10,80,0,6,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Julian Brandt",19,"GER","LM,CM","27-005",90,0,3,0,0,2,1,0,0,52,0,0,0,0.1,0.1,1.8,6,3,34,47,72.3,2,32,3,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Emre Can",23,"GER","CM","29-115",90,0,0,0,0,0,0,0,0,63,1,1,2,0,0,0,2,1,56,59,94.9,2,30,1,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Jude Bellingham",22,"ENG","RM,CM","19-312",90,2,0,0,0,4,2,0,0,69,2,0,1,0.7,0.7,0,6,2,50,60,83.3,7,40,5,2,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Julian Ryerson",26,"NOR","LB","25-171",75,0,1,0,0,1,1,0,0,58,2,0,1,0.1,0.1,0,1,0,48,54,88.9,5,30,2,3,2
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Felix Passlack",30,"GER","LB","24-343",15,0,0,0,0,0,0,0,0,17,3,0,1,0,0,0.4,4,1,9,12,75,4,7,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Mats Hummels",15,"GER","CB","34-142",62,0,0,0,0,0,0,0,0,50,3,1,1,0,0,0,2,1,33,38,86.8,2,19,0,1,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Salih Özcan",6,"TUR","CB","25-116",28,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,1,0,16,17,94.1,1,11,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Niklas Süle",25,"GER","CB","27-246",90,0,0,0,0,2,0,0,0,70,1,0,0,0.1,0.1,0,1,0,63,64,98.4,2,42,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Marius Wolf",17,"GER","RB","27-345",90,0,0,0,0,1,0,0,0,64,2,0,0,0,0,0.1,2,1,47,56,83.9,7,31,1,6,2
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Dortmund","Home","Gregor Kobel",1,"SUI","GK","25-152",90,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,35,39,89.7,0,21,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Patrick Wimmer",39,"AUT","FW","21-342",90,0,0,0,0,3,2,0,0,27,0,0,0,0.8,0.8,0.3,1,0,6,17,35.3,0,13,0,1,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Jonas Wind",23,"DEN","FW","24-089",64,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,13,19,68.4,5,15,0,1,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Omar Marmoush",33,"EGY","FW","",26,0,0,0,0,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Jakub Kamiński",16,"POL","LW","20-336",64,0,0,0,0,2,1,0,0,24,4,1,3,0.4,0.4,0,0,0,10,13,76.9,2,10,2,1,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Nicolas Cozza",8,"FRA","CB","24-119",26,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,9,11,81.8,1,7,1,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Ridle Baku",20,"GER","RW","25-029",45,0,0,0,0,1,0,0,0,28,1,0,0,0,0,0,0,0,17,22,77.3,1,15,0,1,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Kilian Fischer",2,"GER","RW","22-207",45,0,0,0,0,0,0,1,0,20,1,0,1,0,0,0.2,2,0,12,15,80,3,10,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Mattias Svanberg",32,"SWE","CM","24-122",64,0,0,0,0,0,0,0,0,26,3,1,0,0,0,0.1,1,0,13,19,68.4,1,14,1,1,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Yannick Gerhardt",31,"GER","CM","29-055",26,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0.1,1,0,6,8,75,2,5,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Felix Nmecha",22,"GER","CM","22-209",90,0,0,0,0,1,0,0,0,46,1,3,0,0.1,0.1,0.1,4,0,30,37,81.1,6,36,2,3,2
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Maximilian Arnold",27,"GER","DM","28-345",90,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0.7,2,0,34,39,87.2,4,19,0,1,1
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Micky van de Ven",5,"NED","CB","22-018",90,0,0,0,0,1,0,0,0,53,4,0,0,0.1,0.1,0,1,0,43,48,89.6,4,37,1,2,2
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Josuha Guilavogui",29,"FRA","CB","32-230",45,0,0,0,0,0,0,0,0,40,1,1,0,0,0,0,0,0,34,36,94.4,2,22,0,0,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Kevin Paredes",40,"USA","LW,CB","20-000",45,0,0,0,0,0,0,0,0,26,1,0,1,0,0,0,1,0,15,18,83.3,2,16,3,3,0
"Fußball-Bundesliga","2023-05-07","Fußball-Bundesliga (Matchweek 31)","Dortmund","4-3-3",6,4.2,"Karim Adeyemi · 14&rsquor; Sébastien Haller · 28&rsquor; Donyell Malen · 37&rsquor; Jude Bellingham · 54&rsquor; Karim Adeyemi · 59&rsquor; Jude Bellingham · 86&rsquor;","0","0","Wolfsburg","3-1-4-2",0,1.2,"","1","0","https://fbref.com/en/matches/b4ef9cd4/Dortmund-Wolfsburg-May-7-2023-Bundesliga","Wolfsburg","Away","Sebastiaan Bornauw",3,"BEL","CB","24-046",90,0,0,0,0,0,0,0,0,64,2,0,5,0,0,0,1,0,49,51,96.1,1,36,0,1,1
