"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","25-340",90,0,0,0,0,5,1,1,0,38,1,0,1,0.3,0.3,0.3,5,0,20,25,80,4,24,3,2,2
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","LW","28-293",90,0,0,0,0,4,1,0,0,53,4,0,1,0.1,0.1,0.4,5,0,25,40,62.5,2,31,3,4,2
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","RW","21-313",69,0,0,0,0,3,2,0,0,40,1,0,2,0.4,0.4,0,4,0,17,28,60.7,1,24,0,4,4
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM,RW","25-016",21,0,0,0,0,1,0,0,0,6,0,0,0,0.2,0.2,0.1,1,0,4,5,80,1,6,1,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","21-173",79,0,0,0,0,3,1,0,0,40,2,1,1,0.5,0.5,0.3,8,0,18,26,69.2,3,23,5,3,1
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Ragnar Ache",21,"GER","RW","23-024",11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,50,0,4,0,1,1
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","DM","25-047",79,0,0,0,0,3,0,0,0,72,0,0,3,0.1,0.1,0.1,4,0,46,61,75.4,4,42,1,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Makoto Hasebe",20,"JPN","DM","37-215",11,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,11,90.9,2,10,0,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","DM","24-196",90,0,0,0,0,0,0,1,0,60,1,1,0,0,0,0,2,0,46,57,80.7,9,31,4,1,1
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","LB","26-333",90,0,0,0,0,1,0,1,0,91,3,2,3,0,0,0,4,0,51,71,71.8,8,43,4,2,1
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Martin Hinteregger",13,"AUT","CB","28-348",90,0,0,0,0,0,0,0,0,84,2,0,3,0,0,0,1,0,56,75,74.7,4,34,0,1,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","22-001",90,0,0,0,0,1,0,0,0,78,0,1,0,0,0,0,0,0,52,64,81.3,8,37,1,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Erik Durm",37,"GER","RB","29-101",90,0,0,0,0,0,0,0,0,55,1,1,0,0,0,0,1,0,33,50,66,7,26,4,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Eintracht Frankfurt","Home","Kevin Trapp",1,"GER","GK","31-044",90,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,1,0,30,43,69.8,0,25,0,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Florian Niederlechner",7,"GER","FW","30-301",16,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,3,5,60,0,4,1,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Fredrik Jensen",24,"FIN","FW","23-346",74,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,0,9,16,56.3,1,4,0,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Ruben Vargas",16,"SUI","LW","23-016",90,0,0,0,0,0,0,0,0,39,1,1,1,0,0,0,2,0,17,30,56.7,5,19,2,2,2
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","André Hahn",28,"GER","RW","31-008",71,0,0,0,0,0,0,0,0,26,1,1,1,0,0,0,0,0,7,12,58.3,1,12,0,1,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Michael Gregoritsch",11,"AUT","RW","27-125",19,0,0,0,0,1,0,0,0,11,1,0,0,0.1,0.1,0,0,0,5,7,71.4,0,4,0,0,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Jan Morávek",14,"CZE","AM","31-293",47,0,0,0,0,0,0,0,0,17,1,0,1,0,0,0,0,0,6,12,50,0,1,0,1,0
"Fußball-Bundesliga","2021-08-21","Fußball-Bundesliga (Matchweek 2)","Eintracht Frankfurt","4-2-3-1",0,1.6,"","3","0","Augsburg","4-2-3-1",0,0.3,"","3","0","https://fbref.com/en/matches/d0031b17/Eintracht-Frankfurt-Augsburg-August-21-2021-Bundesliga","Augsburg","Away","Carlos Gruezo",8,"ECU","AM","26-124",43,0,0,0,0,1,0,1,0,17,1,0,0,0,0,0,1,0,8,11,72.7,4,5,0,0,0
