"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-088",90,0,1,0,0,1,1,0,0,44,2,0,3,0.2,0.2,0.2,6,2,22,26,84.6,1,24,0,2,1
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM","25-129",86,0,0,0,0,1,0,0,0,40,0,1,0,0.1,0.1,0.2,4,0,26,32,81.3,3,22,2,3,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","AM","24-226",4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,50,0,1,0,0,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","21-286",45,1,0,0,0,2,1,0,0,19,0,0,2,0.3,0.3,0,0,0,7,8,87.5,0,11,0,2,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","AM","22-061",18,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,4,5,80,1,4,1,0,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","WB","27-081",27,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,2,1,8,11,72.7,1,5,0,0,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","24-309",84,1,1,0,0,2,1,0,0,45,0,3,2,0.1,0.1,0.2,4,2,28,35,80,9,25,0,0,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","31-062",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM","24-212",90,1,0,0,0,2,1,0,0,37,0,3,1,0.2,0.2,0,1,0,19,27,70.4,4,14,0,3,2
"Fußball-Bundesliga","2021-12-12","Fußball-Bundesliga (Matchweek 15)","Eintracht Frankfurt","3-4-3",5,1.6,"Tuta · 23&rsquor; Jesper Lindstrøm · 30&rsquor; Obite N'Dicka · 50&rsquor; Kristijan Jakić · 66&rsquor; Djibril Sow · 76&rsquor;","0","0","Bayer Leverkusen","4-2-3-1",2,1.7,"Patrik Schick · 5&rsquor; Patrik Schick (P) · 22&rsquor;","3","0","https://fbref.com/en/matches/4495c77f/Eintracht-Frankfurt-Bayer-Leverkusen-December-12-2021-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","WB,AM","29-041",90,0,0,0,0,2,1,0,0,76,2,1,1,0.1,0.1,0.2,8,1,39,63,61.9,1,37,8,4,0
