"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Theofanis Gekas",NA,"GRE","FW","30-265",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","30-192",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","28-026",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","24-259",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Martin Fenin",NA,"CZE","FW","23-302",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Patrick Ochs",NA,"GER","DF,MF","26-274",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","23-340",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Georgios Tzavellas",NA,"GRE","DF","23-078",45,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Halil Altıntop",NA,"TUR","FW,MF","28-066",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 22)","Eintracht Frankfurt","4-1-4-1",0,NA,"","3","0","Bayer Leverkusen","4-2-3-1",3,NA,"Simon Rolfes · 9&rsquor; Renato Augusto · 32&rsquor; Hanno Balitsch · 84&rsquor;","1","0","https://fbref.com/en/matches/46199dc3/Eintracht-Frankfurt-Bayer-Leverkusen-February-12-2011-Bundesliga","Eintracht Frankfurt","Home","Marco Russ",NA,"GER","DF,MF","25-192",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
