"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-324",45,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,8,9,88.9,1,9,0,4,3
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW","23-243",45,1,0,0,0,2,1,0,0,15,0,0,0,0.1,0.1,0,1,0,5,8,62.5,1,9,2,3,0
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","RM,AM","30-063",90,0,0,0,0,0,0,0,0,41,3,0,1,0,0,0.1,1,0,21,32,65.6,4,22,2,6,1
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-157",45,0,0,0,0,1,0,0,0,18,0,0,0,0.5,0.5,0,0,0,10,12,83.3,0,6,1,3,0
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","LB","27-317",45,0,0,0,0,0,0,0,0,30,3,2,1,0,0,0,1,0,22,25,88,3,16,1,1,0
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","25-180",90,0,0,0,0,0,0,0,0,38,0,2,0,0,0,0,1,0,30,35,85.7,3,20,0,1,1
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","31-298",45,0,0,0,0,0,0,0,0,17,1,1,0,0,0,0,1,0,12,14,85.7,3,5,1,1,0
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM","25-083",45,0,0,0,0,0,0,0,0,16,2,1,0,0,0,0,1,0,7,11,63.6,1,6,0,0,0
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","WB,LM","29-277",74,0,0,0,0,1,0,1,0,45,2,1,0,0,0,0.1,1,0,23,40,57.5,4,23,3,3,1
"Fußball-Bundesliga","2022-08-05","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,0.9,"Randal Kolo Muani · 64&rsquor;","2","0","Bayern Munich","4-4-2",6,4,"Joshua Kimmich · 5&rsquor; Benjamin Pavard · 10&rsquor; Sadio Mané · 29&rsquor; Jamal Musiala · 35&rsquor; Serge Gnabry · 43&rsquor; Jamal Musiala · 83&rsquor;","0","0","https://fbref.com/en/matches/6a1c18c4/Eintracht-Frankfurt-Bayern-Munich-August-5-2022-Bundesliga","Eintracht Frankfurt","Home","Faride Alidou",11,"GER","LM","21-018",16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,100,0,1,0,0,0
