"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","FW,AM","21-362",81,0,0,0,0,1,0,0,0,24,0,1,0,0.1,0.1,0.4,2,0,8,14,57.1,1,21,1,2,1
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM,AM","25-205",9,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,4,6,66.7,1,4,0,0,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","AM,WB","29-117",90,0,0,0,0,2,1,0,0,44,1,1,2,0.4,0.4,0.4,4,0,20,34,58.8,8,20,3,2,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","AM","20-047",66,0,0,0,0,0,0,0,0,21,4,0,4,0,0,0.1,1,0,4,8,50,1,8,2,1,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-164",24,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,50,0,4,0,0,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","25-020",90,0,0,0,0,0,0,0,0,44,3,1,2,0,0,0,1,0,23,33,69.7,4,15,1,0,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","CM","25-236",82,0,0,0,0,0,0,0,0,39,1,3,1,0,0,0,1,0,20,28,71.4,2,17,1,3,2
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","AM","24-302",8,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,4,4,100,2,2,0,0,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","WB","27-157",77,0,0,0,0,1,0,1,0,45,3,0,0,0,0,0,0,0,23,37,62.2,2,16,0,0,0
"Fußball-Bundesliga","2022-02-26","Fußball-Bundesliga (Matchweek 24)","Eintracht Frankfurt","3-4-3",0,0.9,"","1","0","Bayern Munich","3-4-3",1,2.4,"Leroy Sané · 71&rsquor;","2","0","https://fbref.com/en/matches/a94ebd93/Eintracht-Frankfurt-Bayern-Munich-February-26-2022-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","AM","22-137",13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,57.1,0,7,1,2,2
