"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW,AM","24-116",90,1,0,1,1,4,1,0,0,44,0,0,2,1.4,0.6,0.8,8,2,19,29,65.5,4,28,3,9,4
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","AM","30-301",78,0,0,0,0,0,0,0,0,62,2,0,0,0,0,0.3,4,0,35,56,62.5,8,24,4,1,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Lucas Alario",21,"ARG","FW","30-174",12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","AM","27-197",90,0,0,0,0,7,2,1,0,50,2,0,0,1.2,1.2,0.2,4,0,16,35,45.7,2,31,6,3,1
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","26-053",90,0,0,0,0,2,0,1,0,71,0,0,0,0.1,0.1,0,4,0,55,64,85.9,7,44,3,2,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","32-171",73,0,0,0,0,1,0,0,0,53,0,0,1,0.1,0.1,0.1,2,0,44,49,89.8,8,28,2,0,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM","26-238",17,0,0,0,0,1,0,0,0,18,0,0,0,0.2,0.2,0,1,0,10,13,76.9,4,6,0,0,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Philipp Max",32,"GER","WB","29-182",90,0,0,0,0,2,1,0,0,77,1,0,1,0.1,0.1,0.6,8,0,57,72,79.2,7,39,4,0,0
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Aurélio Buta",24,"POR","WB","26-049",90,0,0,0,0,0,0,0,0,83,3,1,0,0,0,0,2,0,56,73,76.7,4,31,3,1,1
"Fußball-Bundesliga","2023-03-31","Fußball-Bundesliga (Matchweek 26)","Eintracht Frankfurt","3-4-3",1,3.1,"Randal Kolo Muani (P) · 22&rsquor;","3","0","Bochum","4-1-2-1-2",1,1.1,"Takuma Asano · 13&rsquor;","2","0","https://fbref.com/en/matches/abd8c355/Eintracht-Frankfurt-Bochum-March-31-2023-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","23-223",90,0,0,0,0,0,0,0,0,88,2,0,1,0,0,0.1,2,0,66,75,88,6,50,1,2,1
