"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW","24-258",83,1,0,0,0,3,1,0,0,24,0,0,0,0.9,0.9,0,0,0,8,11,72.7,1,19,2,7,2
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Omar Marmoush",7,"EGY","LW","24-194",7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,2,0,1,0
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","LW,RW","23-172",83,0,0,0,0,1,0,0,0,45,1,0,0,0.2,0.2,0,2,1,24,32,75,1,34,2,4,1
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Jessic Ngankam",18,"GER","FW","23-031",7,0,0,0,0,1,1,0,0,4,0,0,0,0.1,0.1,0,1,0,0,0,NA,0,4,1,1,1
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","RW,LW","31-078",83,0,0,0,0,0,0,0,0,70,2,0,2,0,0,0.3,6,0,50,63,79.4,9,41,1,5,2
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Aurélio Buta",24,"POR","RM","26-191",7,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,3,100,0,0,0,0,0
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Philipp Max",31,"GER","LM","29-324",90,0,1,0,0,1,0,0,0,63,2,0,1,0,0,0.8,2,1,51,59,86.4,4,32,1,0,0
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","32-313",5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,83.3,2,3,0,0,0
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM,RW","26-098",85,0,0,0,0,1,0,1,0,54,1,0,0,0,0,0.2,1,0,43,47,91.5,8,34,1,1,0
"Fußball-Bundesliga","2023-08-20","Fußball-Bundesliga (Matchweek 1)","Eintracht Frankfurt","3-4-3",1,1.5,"Randal Kolo Muani · 40&rsquor;","2","0","Darmstadt 98","3-4-3",0,0.5,"","3","0","https://fbref.com/en/matches/60fc3feb/Eintracht-Frankfurt-Darmstadt-98-August-20-2023-Bundesliga","Eintracht Frankfurt","Home","Ellyes Skhiri",15,"TUN","CM","28-102",90,0,0,0,0,0,0,0,0,56,0,1,3,0,0,0,0,0,34,46,73.9,4,22,0,0,0
