"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","26-224",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Ioannis Amanatidis",NA,"GRE","FW,MF","27-269",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-092",62,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Nikos Liberopoulos",NA,"GRE","FW,MF","34-025",28,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-173",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Selim Teber",NA,"GER","MF","28-175",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Zlatan Bajramović",NA,"BIH","MF","30-017",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Chris",NA,"BRA","DF,MF","31-004",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-152",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Marco Russ",NA,"GER","DF,MF","24-025",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Aleksandar Vasoski",NA,"MKD","DF","29-281",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Ioannis Amanatidis · 68&rsquor;","1","0","Dortmund","4-1-2-1-2",1,NA,"Mohamed Zidan · 62&rsquor;","3","0","https://fbref.com/en/matches/49e7168a/Eintracht-Frankfurt-Dortmund-August-29-2009-Bundesliga","Eintracht Frankfurt","Home","Maik Franz",NA,"GER","DF","28-024",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
