"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW,AM","26-115",90,2,0,0,0,2,2,1,0,35,1,0,1,0.3,0.3,0,1,1,17,21,81,1,15,1,4,2
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM","25-156",78,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,26,35,74.3,5,17,0,3,2
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Makoto Hasebe",20,"JPN","CM","37-355",12,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,5,5,100,1,2,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","21-313",65,0,0,0,0,2,1,0,0,30,1,0,1,0.7,0.7,0.3,4,0,10,16,62.5,1,15,4,4,2
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","FW,AM","24-253",25,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,4,5,80,0,0,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","CM","25-187",89,0,0,0,0,3,0,0,0,39,1,1,3,0.1,0.1,0,1,0,22,26,84.6,4,13,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Gonçalo Paciência",39,"POR","FW","27-160",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","31-089",65,0,0,0,0,0,0,0,0,41,1,2,1,0,0,0.4,4,0,30,34,88.2,6,10,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM","24-239",25,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,6,9,66.7,1,2,0,1,1
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","WB","29-068",90,0,1,0,0,3,2,0,0,61,1,3,0,0.1,0.1,0.1,4,2,34,52,65.4,2,26,6,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Timothy Chandler",22,"USA","WB","31-285",90,0,0,0,0,0,0,1,0,48,3,2,1,0,0,0,1,0,18,35,51.4,3,13,1,2,1
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","22-141",90,0,0,0,0,1,0,0,0,48,1,3,1,0.3,0.3,0,0,0,35,40,87.5,0,24,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Martin Hinteregger",13,"AUT","CB","29-123",90,0,0,0,0,1,0,1,0,56,3,5,2,0,0,0,2,1,29,35,82.9,2,20,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Tuta",35,"BRA","CB","22-188",90,0,0,0,0,0,0,0,0,55,1,3,3,0,0,0,1,0,26,40,65,2,20,1,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Eintracht Frankfurt","Home","Kevin Trapp",1,"GER","GK","31-184",90,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,28,52,53.8,0,24,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Dortmund","Away","Erling Haaland",9,"NOR","FW","21-171",90,0,1,0,0,6,2,1,0,42,0,0,1,0.4,0.4,0.1,3,1,15,24,62.5,1,18,3,2,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Dortmund","Away","Marco Reus",11,"GER","LW,CM","32-222",89,0,0,0,0,0,0,0,0,55,0,0,1,0,0,0.1,6,2,36,45,80,3,24,4,3,2
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Dortmund","Away","Axel Witsel",28,"BEL","RM","32-361",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Dortmund","Away","Donyell Malen",21,"NED","RW","22-364",90,0,0,0,0,3,1,0,0,53,0,0,0,0.5,0.5,0.2,6,0,32,47,68.1,4,33,4,2,1
"Fußball-Bundesliga","2022-01-08","Fußball-Bundesliga (Matchweek 18)","Eintracht Frankfurt","3-4-3",2,1.4,"Rafael Borré · 15&rsquor; Rafael Borré · 24&rsquor;","3","0","Dortmund","4-3-3",3,2,"Thorgan Hazard · 71&rsquor; Jude Bellingham · 87&rsquor; Mahmoud Dahoud · 89&rsquor;","2","0","https://fbref.com/en/matches/b725ba28/Eintracht-Frankfurt-Dortmund-January-8-2022-Bundesliga","Dortmund","Away","Jude Bellingham",22,"ENG","LM","18-193",90,1,0,0,0,2,1,0,0,64,1,0,2,0.5,0.5,0,2,0,42,53,79.2,3,31,1,6,3
