"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Ioannis Amanatidis",NA,"GRE","FW,MF","27-291",75,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Ümit Korkmaz",NA,"AUT","MF","24-003",15,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Nikos Liberopoulos",NA,"GRE","FW,MF","34-047",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-114",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","26-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-195",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Selim Teber",NA,"GER","MF","28-197",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","29-047",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Chris",NA,"BRA","DF,MF","31-026",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-1-2-1-2",1,NA,"Marco Russ · 32&rsquor;","1","0","Hamburger SV","4-4-2",1,NA,"Zé Roberto · 8&rsquor;","1","0","https://fbref.com/en/matches/a11d015f/Eintracht-Frankfurt-Hamburger-SV-September-20-2009-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-174",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
