"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Jessic Ngankam",18,"GER","FW","23-080",66,0,0,0,1,2,2,1,0,18,0,0,0,0.9,0.1,0,0,0,12,14,85.7,0,10,0,1,1
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","AM","21-271",24,1,0,0,0,2,2,0,0,19,2,0,2,0.3,0.3,0.4,2,0,4,7,57.1,1,7,0,1,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Omar Marmoush",7,"EGY","AM","24-243",66,0,0,0,0,0,0,0,0,37,2,3,1,0,0,0,2,0,15,19,78.9,2,25,3,9,4
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Nacho Ferri",48,"ESP","FW","19-003",24,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,5,20,0,5,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Fares Chaïbi",8,"ALG","AM","20-314",89,0,0,0,0,2,1,0,0,65,2,0,3,0.1,0.1,0.1,5,0,33,52,63.5,9,37,3,3,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Hrvoje Smolčić",5,"CRO","AM","23-052",1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,100,0,0,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Ellyes Skhiri",15,"TUN","CM","28-151",90,0,0,0,0,1,0,0,0,65,3,3,3,0.4,0.4,0,2,0,40,47,85.1,4,36,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Hugo Larsson",16,"SWE","CM","19-103",89,1,0,0,0,2,1,0,0,65,1,0,1,0.1,0.1,0,1,1,52,59,88.1,5,40,1,1,1
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Makoto Hasebe",20,"JPN","CM","39-263",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,50,0,1,0,0,0
"Fußball-Bundesliga","2023-10-08","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","3-4-3",2,1.9,"Hugo Larsson · 39&rsquor; Ansgar Knauff · 72&rsquor;","2","0","Heidenheim","4-2-3-1",0,1.2,"","3","0","https://fbref.com/en/matches/72335e6e/Eintracht-Frankfurt-Heidenheim-October-8-2023-Bundesliga","Eintracht Frankfurt","Home","Philipp Max",31,"GER","WB","30-008",77,0,0,0,0,1,0,1,0,42,1,1,1,0,0,0.1,3,1,27,35,77.1,2,25,2,0,0
