"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","FW","24-169",59,0,0,0,0,1,0,0,0,19,0,0,1,0.1,0.1,0,1,0,6,13,46.2,1,11,0,2,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-031",31,0,0,0,0,2,1,0,0,13,0,0,0,0.1,0.1,0,1,0,6,9,66.7,1,9,1,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","FW","21-229",45,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,6,50,0,9,2,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM,AM,RM","25-072",45,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,16,20,80,3,15,1,4,3
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","AM,RM,FW","22-004",90,0,0,0,0,1,1,0,0,37,1,0,0,0.1,0.1,0,1,0,22,28,78.6,3,29,1,3,2
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","24-252",90,0,0,0,0,2,0,0,0,59,3,2,0,0.2,0.2,0,2,0,34,46,73.9,4,35,1,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM","24-155",68,0,0,0,0,2,1,1,0,45,3,0,2,0.1,0.1,0.1,1,0,23,35,65.7,3,23,1,0,0
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Gonçalo Paciência",39,"POR","FW","27-076",22,1,0,1,1,0,0,0,0,10,0,0,0,0.8,0,0,2,1,4,6,66.7,0,8,0,1,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","WB,LM","28-349",90,0,0,0,0,1,0,0,0,79,2,0,0,0,0,0.5,7,0,44,74,59.5,6,38,2,2,1
"Fußball-Bundesliga","2021-10-16","Fußball-Bundesliga (Matchweek 8)","Eintracht Frankfurt","3-4-1-2",1,1.6,"Gonçalo Paciência (P) · 78&rsquor;","1","0","Hertha BSC","4-2-3-1",2,1.8,"Marco Richter · 7&rsquor; Jurgen Ekkelenkamp · 63&rsquor;","2","0","https://fbref.com/en/matches/0acbd0c7/Eintracht-Frankfurt-Hertha-BSC-October-16-2021-Bundesliga","Eintracht Frankfurt","Home","Timothy Chandler",22,"USA","WB","31-201",45,0,0,0,0,1,1,0,0,25,0,0,0,0,0,0,1,0,16,23,69.6,3,16,0,0,0
