"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-220",66,0,0,0,0,3,1,1,0,28,0,0,0,0.3,0.3,0,2,0,12,16,75,3,19,0,2,1
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","FW,WB","22-193",24,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0.2,1,0,7,13,53.8,2,7,1,1,1
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM","25-261",78,1,0,0,0,1,1,0,0,38,1,0,0,0.1,0.1,0,2,0,28,32,87.5,5,22,2,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Ragnar Ache",21,"GER","AM","23-269",12,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,100,0,2,1,1,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-053",78,0,0,0,0,1,1,0,0,28,2,0,0,0.2,0.2,0.1,2,0,10,18,55.6,3,18,3,2,1
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","AM,CM","25-076",12,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,3,66.7,0,2,0,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","31-194",66,0,0,0,0,1,1,0,0,50,0,1,2,0,0,0,4,0,37,43,86,3,21,0,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","CM,AM","25-292",24,0,0,0,0,1,1,0,0,10,0,0,0,0.2,0.2,0,0,0,5,6,83.3,0,5,0,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","CM","24-344",90,0,0,0,0,2,0,0,0,54,5,0,3,0.1,0.1,0,1,0,32,38,84.2,2,21,0,2,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","WB","29-173",90,0,1,0,0,3,1,0,0,75,1,2,3,0.1,0.1,0.7,11,2,43,65,66.2,6,30,6,1,1
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","WB","20-103",85,0,0,0,0,1,0,0,0,43,2,1,1,0,0,0,1,0,18,30,60,2,22,2,4,2
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Gonçalo Paciência",39,"POR","FW","27-265",5,0,0,0,0,2,0,0,0,7,0,0,0,0.1,0.1,0,0,0,2,4,50,1,4,0,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","22-246",90,1,1,0,0,2,1,0,0,79,4,2,0,0.2,0.2,0.1,2,1,59,65,90.8,6,45,2,1,1
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Martin Hinteregger",13,"AUT","CB","29-228",90,0,0,0,0,0,0,0,0,79,1,1,1,0,0,0,2,0,69,75,92,8,52,0,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Tuta",35,"BRA","CB","22-293",90,0,0,0,0,0,0,0,0,65,3,2,2,0,0,0,2,0,46,55,83.6,4,35,1,0,0
"Fußball-Bundesliga","2022-04-23","Fußball-Bundesliga (Matchweek 31)","Eintracht Frankfurt","3-4-3",2,1.3,"Obite N'Dicka · 32&rsquor; Daichi Kamada · 66&rsquor;","1","0","Hoffenheim","3-4-3",2,0.7,"Obite N'Dicka (OG) · 12&rsquor; Georginio Rutter · 78&rsquor;","3","0","https://fbref.com/en/matches/10162268/Eintracht-Frankfurt-Hoffenheim-April-23-2022-Bundesliga","Eintracht Frankfurt","Home","Kevin Trapp",1,"GER","GK","31-289",90,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,22,38,57.9,0,15,0,0,0
