"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW","23-339",89,1,2,0,0,1,1,0,0,39,2,0,0,0.1,0.1,0.8,5,2,21,28,75,4,23,2,3,1
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Lucas Alario",21,"ARG","FW","30-032",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,100,0,1,0,0,0
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","AM","30-159",90,0,0,0,0,0,0,0,0,84,0,1,2,0,0,0.3,6,1,67,78,85.9,8,46,1,3,1
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-253",80,1,0,0,0,5,3,0,0,44,1,0,1,0.9,0.9,0.4,3,1,22,30,73.3,1,35,8,3,2
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","AM","27-055",10,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,6,6,100,0,5,0,0,0
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","25-276",90,1,0,0,0,1,1,0,0,76,1,3,0,0.3,0.3,0.1,3,1,57,69,82.6,6,41,3,1,1
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM","26-096",90,0,1,0,0,1,0,0,0,82,2,0,0,0.6,0.6,0.3,5,2,62,72,86.1,9,54,2,3,1
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","WB","20-303",80,0,0,0,0,3,1,0,0,64,2,3,3,0.2,0.2,0.2,2,0,31,44,70.5,2,28,4,1,0
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Luca Pellegrini",33,"ITA","WB","23-247",10,0,0,0,0,0,0,0,0,10,1,0,2,0,0,0,0,0,3,6,50,0,5,1,0,0
"Fußball-Bundesliga","2022-11-09","Fußball-Bundesliga (Matchweek 14)","Eintracht Frankfurt","3-4-3",4,2.8,"Djibril Sow · 6&rsquor; Randal Kolo Muani · 8&rsquor; Junior Dina Ebimbe · 29&rsquor; Jesper Lindstrøm · 56&rsquor;","0","0","Hoffenheim","3-5-2",2,1.8,"Christoph Baumgartner · 37&rsquor; Ozan Kabak · 46&rsquor;","3","0","https://fbref.com/en/matches/f07a9d92/Eintracht-Frankfurt-Hoffenheim-November-9-2022-Bundesliga","Eintracht Frankfurt","Home","Junior Dina Ebimbe",26,"FRA","WB","21-353",89,1,0,0,0,2,1,0,0,40,2,1,1,0.6,0.6,0.6,2,0,21,32,65.6,1,23,0,0,0
