"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-340",68,0,0,0,0,1,1,0,0,27,0,0,1,0.1,0.1,0,0,0,16,21,76.2,3,21,1,2,1
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Lucas Alario",21,"ARG","FW","29-317",22,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,3,1,8,8,100,1,8,1,3,3
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","LW","22-173",68,0,0,0,0,1,0,0,0,31,0,0,2,0.3,0.3,0,2,0,15,25,60,2,18,2,1,1
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","LW","26-016",22,1,0,0,0,1,1,0,0,14,0,0,0,0,0,0.3,3,1,8,10,80,1,8,1,4,1
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","RW","23-259",79,0,0,0,0,0,0,0,0,31,0,0,2,0,0,0,0,0,9,17,52.9,4,15,4,5,2
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Faride Alidou",11,"GER","RW","21-034",11,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,1,0,4,7,57.1,2,6,0,1,0
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","AM","30-079",90,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0.4,3,0,24,33,72.7,5,23,3,1,1
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","DM","25-196",90,0,0,0,0,0,0,0,0,50,0,1,1,0,0,0.1,2,0,32,41,78,2,27,1,0,0
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","DM","31-314",62,0,0,0,0,0,0,0,0,43,2,0,2,0,0,0,1,0,28,37,75.7,4,15,0,1,0
"Fußball-Bundesliga","2022-08-21","Fußball-Bundesliga (Matchweek 3)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Daichi Kamada · 71&rsquor;","0","0","Köln","4-1-2-1-2",1,0.3,"Jan Thielmann · 82&rsquor;","1","0","https://fbref.com/en/matches/ede68248/Eintracht-Frankfurt-Koln-August-21-2022-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","RB","20-223",28,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,8,10,80,0,6,0,2,0
