"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","FW","24-148",60,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0,0,0,9,13,69.2,1,9,0,3,2
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","FW","25-051",30,0,0,0,0,1,0,0,0,21,2,0,0,0.2,0.2,0,2,0,8,10,80,1,13,0,4,2
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","LW","28-328",90,0,1,0,0,2,1,0,0,59,1,0,1,0.1,0.1,0.3,3,1,17,45,37.8,3,28,5,3,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","RW","21-348",61,0,0,0,0,0,0,0,0,37,1,0,1,0,0,0,2,1,16,27,59.3,3,17,2,7,3
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","RW","21-208",29,0,0,0,0,1,0,0,0,14,1,0,0,0.1,0.1,0.2,2,0,8,11,72.7,1,6,1,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","AM","26-010",90,1,0,0,0,2,1,0,0,29,2,0,0,0.2,0.2,0,0,0,11,23,47.8,0,17,2,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","DM","24-134",90,0,0,0,0,1,0,0,0,56,1,1,1,0,0,0,1,0,29,46,63,6,18,0,2,2
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","DM","24-231",84,0,0,0,0,0,0,0,0,42,2,2,1,0,0,0,0,0,23,31,74.2,6,14,0,2,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Stefan Ilsanker",3,"AUT","DM","32-130",6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,50,0,2,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Timothy Chandler",22,"USA","LB","31-180",90,0,0,0,0,0,0,1,0,52,1,2,2,0,0,0,1,0,24,42,57.1,1,19,4,2,1
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Martin Hinteregger",13,"AUT","CB","29-018",90,0,0,0,0,2,1,1,0,46,2,5,2,0.2,0.2,0,1,0,19,30,63.3,2,19,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","22-036",90,0,0,0,0,0,0,0,0,28,1,1,1,0,0,0,1,0,14,19,73.7,1,8,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Erik Durm",37,"GER","RB","29-136",10,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,4,75,1,0,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Danny da Costa",24,"GER","RB","28-074",80,0,0,0,0,0,0,0,0,61,1,2,1,0,0,0,2,0,29,48,60.4,2,30,2,4,3
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Eintracht Frankfurt","Home","Kevin Trapp",1,"GER","GK","31-079",90,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,18,35,51.4,0,13,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Köln","Away","Anthony Modeste",27,"FRA","FW","33-164",90,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0,1,0,13,20,65,1,16,0,0,0
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Köln","Away","Sebastian Andersson",9,"SWE","FW","30-072",90,0,0,0,0,6,0,1,0,38,1,0,2,0.3,0.3,0.1,3,0,17,20,85,2,21,2,1,1
"Fußball-Bundesliga","2021-09-25","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",1,0.9,"Rafael Borré · 45+6&rsquor;","2","0","Köln","4-1-2-1-2",1,0.9,"Ellyes Skhiri · 14&rsquor;","3","0","https://fbref.com/en/matches/6f2e488a/Eintracht-Frankfurt-Koln-September-25-2021-Bundesliga","Köln","Away","Ondrej Duda",18,"SVK","AM","26-294",84,0,0,0,0,3,1,0,0,46,1,1,1,0.1,0.1,0,1,0,22,33,66.7,5,28,3,4,2
