"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Martin Fenin",NA,"CZE","FW","23-289",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Theofanis Gekas",NA,"GRE","FW","30-252",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","30-179",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","24-246",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","28-013",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Patrick Ochs",NA,"GER","DF,MF","26-261",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","23-327",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Georgios Tzavellas",NA,"GRE","DF","23-065",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Halil Altıntop",NA,"TUR","FW,MF","28-053",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Marco Russ",NA,"GER","DF,MF","25-179",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 20)","Eintracht Frankfurt","4-1-4-1",0,NA,"","0","0","Mönchengladbach","4-4-2",1,NA,"Igor de Camargo · 84&rsquor;","2","0","https://fbref.com/en/matches/54ccba81/Eintracht-Frankfurt-Monchengladbach-January-30-2011-Bundesliga","Eintracht Frankfurt","Home","Maik Franz",NA,"GER","DF","29-178",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
