"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Gonçalo Paciência",39,"POR","FW","27-280",90,1,0,0,0,6,2,0,0,34,0,0,0,0.4,0.4,0,3,0,12,18,66.7,2,17,2,7,2
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","FW","25-008",57,0,0,0,0,0,0,0,0,15,2,0,1,0,0,0.1,1,0,4,7,57.1,0,4,0,2,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","FW","25-276",33,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,3,1,13,14,92.9,1,7,0,3,1
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Aymen Barkok",27,"MAR","CM","23-352",57,0,0,0,0,2,1,0,0,36,1,0,2,0,0,0,3,0,21,29,72.4,7,20,1,2,1
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Jens Petter Hauge",23,"NOR","CM","22-208",33,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2,0,5,10,50,2,8,0,0,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Stefan Ilsanker",3,"AUT","CM","32-355",64,0,0,0,0,3,0,1,0,51,6,2,2,0.2,0.2,0,0,0,33,36,91.7,2,20,0,1,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","25-091",26,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,11,14,78.6,1,10,0,0,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","CM","25-307",90,0,0,0,0,3,0,0,0,62,0,2,1,0.1,0.1,0.1,7,0,42,52,80.8,7,29,0,1,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Timothy Chandler",22,"USA","WB","32-040",90,0,0,0,0,3,0,0,0,53,0,2,0,0.1,0.1,0,4,0,25,42,59.5,1,24,2,1,0
"Fußball-Bundesliga","2022-05-08","Fußball-Bundesliga (Matchweek 33)","Eintracht Frankfurt","3-5-2",1,0.8,"Gonçalo Paciência · 65&rsquor;","1","0","Mönchengladbach","3-4-3",1,1.4,"Alassane Pléa · 4&rsquor;","0","0","https://fbref.com/en/matches/b9b0b83a/Eintracht-Frankfurt-Monchengladbach-May-8-2022-Bundesliga","Eintracht Frankfurt","Home","Danny da Costa",24,"GER","WB,CB","28-299",82,0,0,0,0,0,0,0,0,40,1,1,0,0,0,0,0,0,28,35,80,2,20,0,1,1
