"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","26-308",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Ümit Korkmaz",NA,"AUT","MF","24-065",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Marcel Heller",NA,"GER","FW,MF","23-282",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Markus Steinhöfer",NA,"GER","DF,MF","23-259",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","29-109",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-176",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-257",90,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Chris",NA,"BRA","DF,MF","31-088",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-236",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 13)","Eintracht Frankfurt","4-2-3-1",1,NA,"Pirmin Schwegler (P) · 86&rsquor;","3","0","Mönchengladbach","4-4-1-1",2,NA,"Oka Nikolov (OG) · 54&rsquor; Roel Brouwers · 65&rsquor;","1","0","https://fbref.com/en/matches/df1df6a3/Eintracht-Frankfurt-Monchengladbach-November-21-2009-Bundesliga","Eintracht Frankfurt","Home","Marco Russ",NA,"GER","DF,MF","24-109",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
