"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-045",81,0,0,0,0,1,0,0,0,45,3,1,0,0,0,0,2,0,25,35,71.4,2,20,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Ragnar Ache",21,"GER","FW","23-094",9,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Filip Kostić",10,"SRB","AM","28-363",90,0,1,0,0,2,1,0,0,41,0,0,0,0,0,0.3,5,1,19,33,57.6,4,21,5,4,2
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM","25-086",90,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,1,0,19,26,73.1,3,19,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Ajdin Hrustic",7,"AUS","CM","25-117",58,0,0,0,0,1,0,0,0,37,1,0,1,0.1,0.1,0,0,0,28,33,84.8,3,26,1,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Aymen Barkok",27,"MAR","WB","23-162",32,0,0,0,0,0,0,0,0,29,2,2,1,0,0,0,0,0,15,22,68.2,1,15,1,3,2
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","24-266",90,0,0,0,0,1,0,0,0,47,2,0,2,0,0,0,5,1,35,37,94.6,3,27,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Erik Durm",37,"GER","WB","29-171",70,0,0,0,0,0,0,0,0,54,1,1,5,0,0,0,1,0,23,44,52.3,2,19,1,1,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Sam Lammers",9,"NED","WB","24-183",20,0,0,0,0,1,0,0,0,10,0,0,1,0,0,0,0,0,2,7,28.6,0,5,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Eintracht Frankfurt","3-4-3",1,0.6,"Tuta · 90+4&rsquor;","1","0","RB Leipzig","3-4-3",1,3,"Yussuf Poulsen · 35&rsquor;","1","0","https://fbref.com/en/matches/17b265aa/Eintracht-Frankfurt-RB-Leipzig-October-30-2021-Bundesliga","Eintracht Frankfurt","Home","Almamy Touré",18,"MLI","WB","25-185",58,0,0,0,0,0,0,0,0,22,1,1,1,0,0,0,0,0,13,18,72.2,1,7,0,0,0
