"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW","24-047",69,0,1,0,0,2,0,0,0,32,1,1,1,0.1,0.1,0.2,4,1,10,22,45.5,2,19,3,0,0
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","27-128",21,1,1,0,0,1,1,1,0,18,1,0,0,0.2,0.2,0.2,2,2,11,16,68.8,0,11,1,1,1
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","AM","30-232",90,0,0,0,0,0,0,1,0,46,0,1,0,0,0,0.3,3,0,29,37,78.4,2,33,1,2,1
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-326",90,1,1,0,0,2,1,0,0,47,3,0,2,0.2,0.2,0.4,5,2,17,31,54.8,5,28,6,4,1
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","25-349",90,0,0,0,0,0,0,0,0,50,5,1,1,0,0,0,0,0,32,40,80,5,30,0,1,1
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM","26-169",80,0,0,0,0,1,0,0,0,50,1,1,2,0.1,0.1,0.1,2,0,39,45,86.7,4,24,1,0,0
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Sebastian Rode",17,"GER","CM","32-102",10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,83.3,2,5,0,0,0
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Ansgar Knauff",36,"GER","WB","21-011",60,0,0,0,0,0,0,0,0,32,1,1,2,0,0,0,3,0,14,24,58.3,3,14,4,2,0
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","WB","28-121",30,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,1,11,15,73.3,0,8,1,0,0
"Fußball-Bundesliga","2023-01-21","Fußball-Bundesliga (Matchweek 16)","Eintracht Frankfurt","3-4-3",3,1.2,"Jesper Lindstrøm · 22&rsquor; Rafael Borré · 84&rsquor; Aurélio Buta · 90+1&rsquor;","2","0","Schalke 04","4-2-3-1",0,1.8,"","3","0","https://fbref.com/en/matches/d731c369/Eintracht-Frankfurt-Schalke-04-January-21-2023-Bundesliga","Eintracht Frankfurt","Home","Junior Dina Ebimbe",26,"FRA","WB","22-061",69,0,0,0,0,4,0,0,0,46,3,0,4,0.2,0.2,0,0,0,16,29,55.2,2,18,3,0,0
