"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Halil Altıntop",NA,"TUR","FW,MF","27-088",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","29-214",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-281",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Patrick Ochs",NA,"GER","DF,MF","25-296",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","27-048",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Selim Teber",NA,"GER","MF","28-364",74,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Ümit Korkmaz",NA,"AUT","MF","24-170",16,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-362",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-341",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Eintracht Frankfurt","4-2-3-1",1,NA,"Alexander Meier · 52&rsquor;","1","0","Schalke 04","4-1-2-1-2",4,NA,"Joël Matip · 12&rsquor; Benedikt Höwedes · 15&rsquor; Ivan Rakitić · 80&rsquor; Kevin Kurányi · 89&rsquor;","2","0","https://fbref.com/en/matches/7c931e3b/Eintracht-Frankfurt-Schalke-04-March-6-2010-Bundesliga","Eintracht Frankfurt","Home","Martin Fenin",NA,"CZE","FW","22-324",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
