"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","26-252",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Nikos Liberopoulos",NA,"GRE","FW,MF","34-053",38,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","29-053",52,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-120",56,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Martin Fenin",NA,"CZE","FW","22-163",34,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-201",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Selim Teber",NA,"GER","MF","28-203",80,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Markus Steinhöfer",NA,"GER","DF,MF","23-203",10,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Zlatan Bajramović",NA,"BIH","MF","30-045",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Eintracht Frankfurt","4-1-2-1-2",0,NA,"Marco Russ · 33&rsquor;","1","1","Stuttgart","4-4-2",3,NA,"Julian Schieber · 17&rsquor; Julian Schieber · 31&rsquor; Thomas Hitzlsperger · 54&rsquor;","0","0","https://fbref.com/en/matches/5d3887fe/Eintracht-Frankfurt-Stuttgart-September-26-2009-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-180",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
