"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","FW","24-075",67,1,0,0,0,2,2,0,0,40,1,0,0,1,1,0,2,1,15,24,62.5,4,27,3,7,3
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","27-156",23,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,0,12,14,85.7,0,13,1,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","AM","30-260",86,0,0,0,0,0,0,0,0,51,0,0,2,0,0,0.6,2,0,34,43,79.1,5,36,0,1,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Lucas Alario",21,"ARG","AM","30-133",4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,3,0,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-354",86,0,0,0,0,2,0,0,0,39,0,0,2,0.2,0.2,0.1,2,0,19,29,65.5,2,24,4,3,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Faride Alidou",11,"GER","AM","21-215",4,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,4,0,1,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","CM","26-012",90,0,0,0,0,3,2,0,0,75,3,3,2,0.2,0.2,0,0,0,54,60,90,4,53,4,0,0
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","CM","26-197",90,0,0,0,0,1,0,0,0,61,3,0,4,0.5,0.5,0,1,0,39,43,90.7,4,39,2,2,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Philipp Max",32,"GER","WB","29-141",72,0,0,0,0,0,0,1,0,48,4,0,0,0,0,0.4,7,0,31,40,77.5,3,24,1,1,1
"Fußball-Bundesliga","2023-02-18","Fußball-Bundesliga (Matchweek 21)","Eintracht Frankfurt","3-4-3",2,2.1,"Marco Friedl (OG) · 7&rsquor; Randal Kolo Muani · 52&rsquor;","1","0","Werder Bremen","3-1-4-2",0,0.3,"","1","0","https://fbref.com/en/matches/2f761f57/Eintracht-Frankfurt-Werder-Bremen-February-18-2023-Bundesliga","Eintracht Frankfurt","Home","Christopher Lenz",25,"GER","WB","28-149",18,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,12,15,80,0,9,0,0,0
