"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Nikos Liberopoulos",NA,"GRE","FW,MF","34-137",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Benjamin Köhler",NA,"GER","MF","29-137",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Caio Alves",NA,"BRA","MF","23-204",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Patrick Ochs",NA,"GER","DF,MF","25-219",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Alexander Meier",NA,"GER","FW,MF","26-336",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Pirmin Schwegler",NA,"SUI","MF","22-285",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Selim Teber",NA,"GER","MF","28-287",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Christoph Spycher",NA,"SUI","DF","31-264",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Marco Russ",NA,"GER","DF,MF","24-137",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Eintracht Frankfurt","4-2-3-1",2,NA,"Maik Franz · 26&rsquor; Alexander Meier · 79&rsquor;","1","0","Wolfsburg","4-4-2",2,NA,"Edin Džeko · 37&rsquor; Josué · 69&rsquor;","1","0","https://fbref.com/en/matches/9ab674df/Eintracht-Frankfurt-Wolfsburg-December-19-2009-Bundesliga","Eintracht Frankfurt","Home","Chris",NA,"BRA","DF,MF","31-116",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
