"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Rafael Borré",19,"COL","FW","26-360",63,0,0,0,0,1,0,0,0,26,0,0,1,0.1,0.1,0.2,2,0,14,20,70,2,20,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Lucas Alario",21,"ARG","FW","29-337",27,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0,0,0,1,2,50,0,1,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Mario Götze",27,"GER","LW","30-099",90,0,0,0,0,0,0,0,0,53,2,0,0,0,0,0.1,2,0,34,50,68,2,38,4,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Randal Kolo Muani",9,"FRA","RW","23-279",90,0,0,0,0,2,0,0,0,24,0,0,0,0.1,0.1,0,2,0,6,13,46.2,0,15,1,3,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Daichi Kamada",15,"JPN","AM","26-036",63,0,0,0,0,1,0,0,0,23,1,0,0,0.2,0.2,0,1,0,15,21,71.4,2,20,2,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Jesper Lindstrøm",29,"DEN","AM","22-193",27,0,0,0,0,2,0,0,0,12,0,0,0,0.1,0.1,0,0,0,6,9,66.7,1,5,0,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Djibril Sow",8,"SUI","DM","25-216",90,0,0,0,0,0,0,1,0,63,1,0,2,0,0,0,2,0,46,57,80.7,4,48,2,1,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Kristijan Jakić",6,"CRO","DM","25-119",90,0,0,0,0,1,0,0,0,67,1,2,1,0,0,0.1,6,0,49,60,81.7,11,51,2,2,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Luca Pellegrini",33,"ITA","LB","23-187",90,0,0,0,0,1,0,0,0,97,2,1,1,0,0,0.1,2,0,58,85,68.2,6,58,3,4,1
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Obite N'Dicka",2,"CIV","CB","23-021",90,0,0,0,0,1,0,0,0,92,1,1,0,0.1,0.1,0,0,0,82,86,95.3,4,76,2,0,0
"Fußball-Bundesliga","2022-09-10","Fußball-Bundesliga (Matchweek 6)","Eintracht Frankfurt","4-2-3-1",0,0.7,"","2","0","Wolfsburg","4-3-3",1,1,"Maxence Lacroix · 60&rsquor;","4","0","https://fbref.com/en/matches/425671db/Eintracht-Frankfurt-Wolfsburg-September-10-2022-Bundesliga","Eintracht Frankfurt","Home","Tuta",35,"BRA","CB","23-068",90,0,0,0,0,0,0,1,0,100,0,0,1,0,0,0,0,0,80,90,88.9,2,79,0,0,0
