"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW,AM","29-083",88,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,1,0,18,27,66.7,0,19,0,1,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW,AM","29-166",2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,4,5,80,1,3,0,0,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","AM","30-177",72,1,1,1,1,2,0,0,0,45,2,0,0,0.9,0.1,0.1,2,2,18,33,54.5,5,24,2,2,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Junior Adamu",20,"AUT","FW,AM","22-117",18,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,3,6,50,0,5,0,0,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","AM","25-107",72,0,0,0,0,1,1,0,0,29,0,0,1,0,0,0,1,0,10,17,58.8,2,15,3,1,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Maximilian Philipp",26,"GER","AM","29-214",18,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,9,12,75,1,9,0,0,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","26-297",90,0,0,0,0,1,0,0,0,75,2,1,4,0,0,0,0,0,53,64,82.8,3,50,3,0,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Yannik Keitel",14,"GER","CM","23-228",19,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,1,7,8,87.5,1,4,0,0,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Merlin Röhl",34,"GER","CM","21-088",71,0,0,0,0,0,0,1,0,40,2,0,0,0,0,0,2,0,22,24,91.7,4,24,5,5,0
"Fußball-Bundesliga","2023-10-01","Fußball-Bundesliga (Matchweek 6)","Freiburg","3-4-3",2,1,"Vincenzo Grifo (P) · 5&rsquor; Philipp Lienhart · 56&rsquor;","2","0","Augsburg","3-4-3",0,0.8,"","2","0","https://fbref.com/en/matches/367e0516/Freiburg-Augsburg-October-1-2023-Bundesliga","Freiburg","Home","Lukas Kübler",17,"GER","WB","31-032",90,0,0,0,0,0,0,0,0,55,5,2,0,0,0,0,1,0,35,42,83.3,2,24,0,2,0
