"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","FW","24-315",61,0,0,0,0,1,1,0,0,21,1,0,0,0.1,0.1,0,2,0,8,16,50,2,9,0,2,2
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-117",29,1,0,0,0,1,1,0,0,13,0,0,1,0.2,0.2,0.1,1,0,9,9,100,1,3,0,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","AM,LW","28-360",90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0.2,2,0,27,36,75,5,17,2,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","AM","27-266",82,0,0,0,0,2,1,0,0,54,2,3,0,0.2,0.2,0,2,1,25,35,71.4,2,24,1,2,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Noah Weißhaupt",33,"GER","RW","20-194",8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,3,7,42.9,0,7,0,1,1
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","CM,DM","32-024",90,0,0,0,0,1,0,0,0,46,2,2,1,0,0,0,0,0,27,32,84.4,3,14,1,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","25-115",82,0,0,0,0,1,0,0,0,45,1,2,2,0,0,0,3,0,23,34,67.6,2,18,0,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Janik Haberer",19,"GER","DM","28-000",8,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,5,6,83.3,1,1,0,0,0
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","WB,LB","29-033",90,0,1,0,0,1,0,1,0,44,0,1,1,0,0,0.2,4,1,28,32,87.5,4,22,2,4,2
"Fußball-Bundesliga","2022-04-02","Fußball-Bundesliga (Matchweek 28)","Freiburg","3-4-3",1,0.6,"Nils Petersen · 63&rsquor;","1","0","Bayern Munich","4-2-3-1",4,2.1,"Leon Goretzka · 58&rsquor; Serge Gnabry · 73&rsquor; Kingsley Coman · 82&rsquor; Marcel Sabitzer · 90+6&rsquor;","1","0","https://fbref.com/en/matches/c49cc77e/Freiburg-Bayern-Munich-April-2-2022-Bundesliga","Freiburg","Home","Jonathan Schmid",7,"FRA","WB","31-284",68,0,0,0,0,0,0,0,0,59,5,1,0,0,0,0,0,0,33,45,73.3,3,15,1,3,3
