"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW","28-116",73,1,0,0,0,4,3,0,0,27,1,0,1,0.4,0.4,0.1,2,0,6,13,46.2,1,8,1,3,1
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-249",17,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,3,6,50,0,1,0,1,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LW","29-127",84,0,0,0,0,2,1,0,0,49,2,1,0,0.1,0.1,0.1,3,0,28,39,71.8,7,23,2,2,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Noah Weißhaupt",33,"GER","LW","20-326",6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","RW","24-057",84,0,0,0,0,1,0,0,0,39,2,2,1,0,0,0.2,2,0,15,21,71.4,3,25,5,3,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Daniel Kyereh",11,"GHA","RW","26-157",6,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,3,3,100,1,1,0,0,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","AM","25-082",90,0,0,0,0,3,1,0,0,33,2,0,2,0.2,0.2,0.1,2,0,11,21,52.4,0,15,2,2,1
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","DM","32-156",90,0,0,0,0,2,0,0,0,31,1,2,0,0,0,0,1,0,19,25,76,1,13,0,1,1
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","DM","25-247",90,0,0,0,0,1,1,0,0,41,5,2,1,0,0,0,2,0,19,29,65.5,5,15,2,1,0
"Fußball-Bundesliga","2022-08-12","Fußball-Bundesliga (Matchweek 2)","Freiburg","4-2-3-1",1,1,"Michael Gregoritsch · 35&rsquor;","1","0","Dortmund","4-2-3-1",3,1.1,"Jamie Bynoe-Gittens · 77&rsquor; Youssoufa Moukoko · 84&rsquor; Marius Wolf · 88&rsquor;","3","0","https://fbref.com/en/matches/ba444a3a/Freiburg-Dortmund-August-12-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","LB","29-165",90,0,0,0,0,2,1,0,0,50,1,1,0,0,0,0.3,7,1,31,46,67.4,2,19,2,1,1
