"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW","29-151",27,0,0,0,0,1,0,0,0,8,1,0,0,0.1,0.1,0,1,0,3,5,60,0,1,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","AM,LW","30-162",63,0,2,0,0,2,0,0,0,55,1,1,0,0.2,0.2,0.3,6,2,36,47,76.6,2,19,1,2,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW,LW","29-068",77,1,0,0,0,3,3,0,0,27,1,0,1,0.2,0.2,0,2,0,10,19,52.6,1,6,0,1,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Junior Adamu",20,"AUT","FW","22-102",13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,100,0,0,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","WB,RW","26-117",90,0,0,0,0,4,0,0,0,53,2,2,3,0.1,0.1,0.1,3,1,21,36,58.3,3,26,4,3,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","AM","25-092",84,0,0,0,0,1,0,0,0,41,2,0,1,0.1,0.1,0.3,7,0,21,29,72.4,5,21,3,7,4
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Merlin Röhl",34,"GER","AM","21-073",6,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,100,0,2,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","DM,CM","33-191",81,1,0,0,0,1,1,0,1,44,1,0,0,0.3,0.3,0,1,1,36,40,90,7,13,0,0,0
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM,DM","26-282",90,0,0,0,0,1,0,1,0,39,2,0,2,0,0,0.1,4,0,23,27,85.2,7,16,1,3,1
"Fußball-Bundesliga","2023-09-16","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-2-3-1",2,1,"Lucas Höler · 45+2&rsquor; Nicolas Höfler · 45+6&rsquor; Nicolas Höfler · 82&rsquor;","2","1","Dortmund","4-3-3",4,2.3,"Mats Hummels · 11&rsquor; Donyell Malen · 60&rsquor; Mats Hummels · 88&rsquor; Marco Reus · 90+2&rsquor;","3","0","https://fbref.com/en/matches/363f8d87/Freiburg-Dortmund-September-16-2023-Bundesliga","Freiburg","Home","Lukas Kübler",17,"GER","LB,WB","31-017",84,0,0,0,0,0,0,0,0,42,2,0,1,0,0,0,1,0,28,35,80,3,13,0,1,1
