"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW","27-112",89,0,0,0,0,1,0,0,0,30,2,0,1,0.4,0.4,0,2,1,11,23,47.8,0,13,2,2,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Keven Schlotterbeck",31,"GER","FW","24-185",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LW","28-206",90,1,1,1,1,5,1,0,0,66,5,1,2,0.9,0.1,0.1,7,1,39,44,88.6,5,29,0,8,5
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Kevin Schade",20,"GER","RW","19-337",82,0,0,0,0,0,0,0,0,24,1,0,1,0,0,0.5,2,0,10,15,66.7,1,10,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Noah Weißhaupt",33,"GER","RW","20-040",8,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","AM","22-040",74,0,0,0,0,2,2,0,0,27,0,0,1,0.1,0.1,0,1,0,14,21,66.7,1,14,2,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Ermedin Demirović",11,"BIH","AM","23-219",16,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,1,2,50,1,3,1,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","DM","31-235",74,1,0,0,0,1,1,0,0,49,3,2,1,0.1,0.1,0,1,0,33,40,82.5,3,22,0,1,1
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Janik Haberer",19,"GER","DM","27-211",16,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,5,7,71.4,0,2,0,0,0
"Fußball-Bundesliga","2021-10-30","Fußball-Bundesliga (Matchweek 10)","Freiburg","4-2-3-1",3,1.5,"Simon Asta (OG) · 20&rsquor; Nicolas Höfler · 39&rsquor; Vincenzo Grifo (P) · 79&rsquor;","0","0","Greuther Fürth","4-3-3",1,0.8,"Jamie Leweling · 74&rsquor;","2","0","https://fbref.com/en/matches/1b975160/Freiburg-Greuther-Furth-October-30-2021-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","DM","24-326",82,0,0,0,0,0,0,0,0,28,2,0,0,0,0,0,1,0,14,20,70,2,8,0,1,0
