"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","FW","21-356",71,0,0,0,0,2,2,0,0,20,0,0,0,0.2,0.2,0,1,0,9,13,69.2,2,12,2,1,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Kevin Schade",20,"GER","FW","19-288",19,0,0,0,0,1,0,1,0,13,1,0,0,0.1,0.1,0,0,0,4,7,57.1,0,8,0,3,2
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW","27-063",81,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0.2,1,0,10,15,66.7,0,7,1,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Ermedin Demirović",11,"BIH","FW","23-170",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LM","28-157",90,0,0,0,0,1,0,0,0,53,1,0,0,0.2,0.2,0,1,0,31,43,72.1,6,36,3,1,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","24-277",45,0,0,0,0,0,0,0,0,27,2,1,1,0,0,0,1,0,17,21,81,1,16,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Janik Haberer",19,"GER","CM","27-162",45,0,0,0,0,0,0,0,0,22,1,0,1,0,0,0,0,0,15,19,78.9,1,14,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Yannik Keitel",14,"GER","CM","21-208",90,0,0,0,0,2,1,0,0,53,3,0,0,0.3,0.3,0,2,0,30,42,71.4,6,31,0,2,2
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","RM","24-112",71,0,0,0,0,1,0,0,0,28,1,1,0,0,0,0.1,2,0,14,22,63.6,3,21,2,1,1
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Freiburg","4-4-2",1,0.8,"Rafael Czichos (OG) · 89&rsquor;","1","0","Köln","4-1-3-2",1,1.1,"Anthony Modeste · 33&rsquor; Florian Kainz · 74&rsquor;","4","1","https://fbref.com/en/matches/09be4ced/Freiburg-Koln-September-11-2021-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","RM","32-279",19,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,4,25,0,2,0,0,0
