"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","25-156",88,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Daniel Caligiuri",NA,"ITA","DF,FW","22-295",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","26-256",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Jan Rosenthal",NA,"GER","FW,MF","24-213",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Anton Putsila",NA,"BLR","MF","23-149",61,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","29-053",29,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Yacine Abdessadki",NA,"MAR","MF","29-309",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Daniel Sereinig",NA,"SUI","DF","28-180",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Julian Schuster",NA,"GER","MF","25-205",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","22-181",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Ömer Toprak",NA,"TUR","DF","21-108",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Oliver Barth",NA,"GER","DF","31-031",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Danny Williams",NA,"USA","DF,MF","21-243",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Freiburg","Home","Oliver Baumann",NA,"GER","GK","20-157",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Sami Allagui",NA,"TUN","FW,MF","24-162",22,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Ádám Szalai",NA,"HUN","FW","22-332",68,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","André Schürrle",NA,"GER","FW,MF","20-000",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Lewis Holtby",NA,"GER","MF","20-049",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Eugen Polanski",NA,"POL","MF","24-234",65,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Andreas Ivanschitz",NA,"AUT","MF","27-022",25,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Marco Caligiuri",NA,"GER","DF,MF","26-206",83,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Florian Heller",NA,"GER","FW,MF","28-241",7,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Miroslav Karhan",NA,"SVK","MF","34-138",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Christian Fuchs",NA,"AUT","DF,MF","24-213",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Nikolče Noveski",NA,"MKD","DF","31-192",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Niko Bungert",NA,"GER","DF","24-013",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Radoslav Zabavník",NA,"SVK","DF,MF","30-051",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 11)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 64&rsquor;","2","0","Mainz 05","4-1-2-1-2",0,NA,"","1","0","https://fbref.com/en/matches/e7a2962b/Freiburg-Mainz-05-November-6-2010-Bundesliga","Mainz 05","Away","Christian Wetklo",NA,"GER","GK","30-299",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
