"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW","28-166",83,1,0,0,0,8,4,0,0,47,1,0,0,1.2,1.2,0,7,2,22,30,73.3,5,32,2,6,3
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-299",7,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,1,1,100,1,1,0,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LW","29-177",83,0,0,0,0,1,0,0,0,65,1,2,0,0.1,0.1,0.6,5,0,48,57,84.2,5,43,4,1,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Noah Weißhaupt",33,"GER","LW","21-011",7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,2,50,0,2,1,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","RW","24-107",68,0,0,0,0,1,0,0,0,31,3,1,0,0.1,0.1,0.2,2,0,13,19,68.4,4,20,3,4,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Kevin Schade",20,"GER","RW","20-308",22,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,11,54.5,0,14,1,4,1
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Daniel Kyereh",11,"GHA","AM","26-207",68,1,0,0,0,1,1,0,0,36,1,0,0,0.9,0.9,0,2,0,20,27,74.1,1,26,0,2,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","AM","23-011",22,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,100,0,6,0,1,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","DM","32-206",90,0,0,0,0,0,0,1,0,66,3,3,2,0,0,0,0,0,47,54,87,5,36,0,2,1
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","DM","25-297",89,0,1,0,0,0,0,0,0,45,2,2,0,0,0,0,2,1,31,37,83.8,3,24,2,2,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Yannik Keitel",14,"GER","DM","22-228",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","LB","29-215",90,0,0,0,0,2,1,0,0,62,0,0,0,0.1,0.1,0.2,3,0,37,56,66.1,2,35,2,0,0
"Fußball-Bundesliga","2022-10-01","Fußball-Bundesliga (Matchweek 8)","Freiburg","4-2-3-1",2,2,"Michael Gregoritsch · 3&rsquor; Daniel Kyereh · 37&rsquor;","2","0","Mainz 05","3-4-3",1,1.6,"Aarón Martín · 52&rsquor;","4","0","https://fbref.com/en/matches/4e3a874d/Freiburg-Mainz-05-October-1-2022-Bundesliga","Freiburg","Home","Philipp Lienhart",3,"AUT","CB","26-082",90,0,0,0,0,0,0,0,0,83,1,1,1,0,0,0.2,1,0,53,67,79.1,6,52,1,0,0
