"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW","28-146",82,0,0,0,0,4,3,0,0,28,2,2,1,0.2,0.2,0.1,2,0,10,19,52.6,0,16,3,2,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-279",8,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,100,1,1,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Daniel Kyereh",11,"GHA","FW","26-187",68,0,0,0,0,1,1,0,0,23,1,0,0,0.5,0.5,0,1,0,10,12,83.3,1,9,1,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","FW","22-356",22,0,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0,1,0,4,6,66.7,0,4,1,3,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LM","29-157",81,0,0,0,0,0,0,0,0,55,0,0,1,0,0,0.8,9,0,40,52,76.9,8,35,6,3,3
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Noah Weißhaupt",33,"GER","LM","20-356",9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,100,0,1,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","CM","32-186",90,0,0,0,0,2,0,0,0,50,3,1,3,0.2,0.2,0,0,0,36,42,85.7,3,32,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","25-277",68,0,0,0,0,0,0,0,0,28,2,0,1,0,0,0,1,0,16,22,72.7,3,11,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Yannik Keitel",14,"GER","CM","22-208",22,0,0,0,0,0,0,0,0,21,0,1,1,0,0,0,0,0,12,16,75,1,13,2,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","RM","24-087",80,0,0,0,0,2,0,0,0,38,4,0,0,0.1,0.1,0,4,0,13,25,52,1,28,7,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Kevin Schade",20,"GER","RM","20-288",10,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","LB","29-195",90,0,0,0,0,2,2,1,0,52,1,0,0,0.1,0.1,0.1,4,0,31,46,67.4,5,34,1,2,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Philipp Lienhart",3,"AUT","CB","26-062",90,0,0,0,0,0,0,0,0,67,0,1,1,0,0,0,0,0,49,60,81.7,5,43,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Matthias Ginter",28,"GER","CB","28-235",90,0,0,0,0,0,0,0,0,56,3,0,2,0,0,0.1,1,0,41,49,83.7,6,36,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Kiliann Sildillia",25,"FRA","RB","20-118",90,0,0,0,0,0,0,0,0,46,2,1,0,0,0,0,1,0,23,37,62.2,4,16,1,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Freiburg","Home","Mark Flekken",26,"NED","GK","29-090",90,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,29,40,72.5,0,29,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Marcus Thuram",10,"FRA","FW","25-036",90,0,0,0,0,6,2,0,0,29,0,1,1,0.8,0.8,0,5,0,11,15,73.3,2,19,6,6,3
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Lars Stindl",13,"GER","LW","34-016",81,0,0,0,0,2,1,0,0,41,1,1,3,0.1,0.1,0.2,2,0,27,32,84.4,3,15,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Hannes Wolf",11,"AUT","LW","23-148",9,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,1,0,5,6,83.3,1,4,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Jonas Hofmann",23,"GER","AM,RW","30-059",90,0,0,0,0,1,1,0,0,54,0,2,1,0,0,0.1,6,0,43,49,87.8,3,25,3,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Florian Neuhaus",32,"GER","AM","25-179",33,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0.5,3,0,7,11,63.6,1,9,0,1,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Nathan N'Goumou",19,"FRA","RW,AM","22-181",48,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,7,10,70,0,8,3,3,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Yvandro Borges Sanches",38,"LUX","RW","18-110",9,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,100,0,3,0,1,1
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Kouadio Koné",17,"FRA","DM","21-117",90,0,0,0,0,0,0,0,0,59,1,0,3,0,0,0,2,0,33,41,80.5,2,39,0,8,2
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Julian Weigl",8,"GER","DM","27-003",90,0,0,0,0,1,0,0,0,81,1,1,1,0,0,0.1,1,0,65,75,86.7,3,49,1,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Ramy Bensebaini",25,"ALG","LB","27-148",90,0,0,0,0,2,0,1,0,56,2,1,4,0.2,0.2,0,1,0,25,34,73.5,1,16,1,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Christoph Kramer",6,"GER","CB","31-204",90,0,0,0,0,0,0,0,0,107,4,0,1,0,0,0,2,0,84,97,86.6,1,72,1,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Marvin Friedrich",5,"GER","CB","26-272",90,0,0,0,0,1,0,0,0,89,1,0,0,0.1,0.1,0.2,1,0,69,81,85.2,1,64,0,0,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Joe Scally",29,"USA","RB","19-254",90,0,0,0,0,0,0,0,0,45,1,1,1,0,0,0.1,2,0,27,32,84.4,2,22,1,1,0
"Fußball-Bundesliga","2022-09-11","Fußball-Bundesliga (Matchweek 6)","Freiburg","4-4-1-1",0,1.1,"","1","0","Mönchengladbach","4-2-3-1",0,1.2,"","1","0","https://fbref.com/en/matches/71b44862/Freiburg-Monchengladbach-September-11-2022-Bundesliga","Mönchengladbach","Away","Yann Sommer",1,"SUI","GK","33-268",90,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,82,93,88.2,0,74,0,0,0
