"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Mohammadou Idrissou",NA,"CMR","FW","29-203",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Tommy Bechmann",NA,"DEN","FW,MF","27-279",68,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Julian Schuster",NA,"GER","MF","24-165",22,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","25-216",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Andreas Glockner",NA,"GER","FW,MF","21-214",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Johannes Flum",NA,"GER","MF","21-287",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Ivica Banović",NA,"CRO","MF","29-056",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Yacine Abdessadki",NA,"MAR","MF","28-269",85,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Mensur Mujdža",NA,"BIH","DF,MF","25-183",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Heiko Butscher",NA,"GER","DF","29-061",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","21-141",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Pavel Krmaš",NA,"CZE","DF,MF","29-208",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Cha Du-ri",NA,"KOR","DF,MF","29-064",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Freiburg","Home","Simon Pouplin",NA,"FRA","GK","24-122",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 7)","Freiburg","4-4-2",3,NA,"Mohammadou Idrissou · 54&rsquor; Yacine Abdessadki · 72&rsquor; Julian Schuster · 80&rsquor;","0","0","Mönchengladbach","4-1-4-1",0,NA,"","1","0","https://fbref.com/en/matches/3a811229/Freiburg-Monchengladbach-September-27-2009-Bundesliga","Mönchengladbach","Away","Raúl Bobadilla",NA,"PAR","FW","22-101",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
