"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","24-248",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","28-145",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Mohammadou Idrissou",NA,"CMR","FW","29-335",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Cha Du-ri",NA,"KOR","DF,MF","29-196",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","25-348",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Julian Schuster",NA,"GER","MF","24-297",70,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Ivica Banović",NA,"CRO","MF","29-188",20,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Johannes Flum",NA,"GER","MF","22-054",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","21-273",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Freiburg","4-2-3-1",0,NA,"","1","0","Schalke 04","4-1-2-1-2",0,NA,"","3","0","https://fbref.com/en/matches/1cc14309/Freiburg-Schalke-04-February-6-2010-Bundesliga","Freiburg","Home","Heiko Butscher",NA,"GER","DF","29-193",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
