"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","25-079",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Jonathan Jäger",NA,"FRA","FW","32-090",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","26-179",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Jan Rosenthal",NA,"GER","FW,MF","24-136",88,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","28-341",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Daniel Caligiuri",NA,"ITA","DF,FW","22-218",55,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Maximilian Nicu",NA,"ROU","DF,MF","27-269",35,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Julian Schuster",NA,"GER","MF","25-128",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","22-104",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 1)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé · 78&rsquor;","0","0","St. Pauli","4-2-3-1",3,NA,"Fabian Boll · 83&rsquor; Richard Sukuta-Pasu · 89&rsquor; Fin Bartels · 90&rsquor;","0","0","https://fbref.com/en/matches/51560602/Freiburg-St-Pauli-August-21-2010-Bundesliga","Freiburg","Home","Heiko Butscher",NA,"GER","DF","30-024",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
