"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","24-233",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","25-333",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","21-258",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Johannes Flum",NA,"GER","MF","22-039",81,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Jonathan Jäger",NA,"FRA","FW","31-244",9,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Ivica Banović",NA,"CRO","MF","29-173",66,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Cha Du-ri",NA,"KOR","DF,MF","29-181",24,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Daniel Caligiuri",NA,"ITA","DF,FW","22-007",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Jackson Mendy",NA,"SEN","DF","22-242",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Ömer Toprak",NA,"TUR","DF","20-185",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Heiko Butscher",NA,"GER","DF","29-178",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Danny Williams",NA,"USA","DF,MF","20-320",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","28-130",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Freiburg","Home","Simon Pouplin",NA,"FRA","GK","24-239",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Pavel Pogrebnyak",NA,"RUS","FW","26-075",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Ciprian Marica",NA,"ROU","FW","24-112",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Alexander Hleb",NA,"BLR","MF","28-266",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Thomas Hitzlsperger",NA,"GER","MF","27-292",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Christian Träsch",NA,"GER","DF,MF","22-143",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Zdravko Kuzmanović",NA,"SRB","MF","22-122",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Sami Khedira",NA,"GER","MF","22-293",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Roberto Hilbert",NA,"GER","DF,MF","25-098",59,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Timo Gebhart",NA,"GER","MF","20-285",31,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Cristian Molinaro",NA,"ITA","DF,MF","26-176",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Serdar Tasci",NA,"GER","DF","22-273",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Georg Niedermeier",NA,"GER","DF","23-330",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Stefano Celozzi",NA,"GER","DF","21-081",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 19)","Freiburg","4-4-2",0,NA,"","3","0","Stuttgart","4-4-2",1,NA,"Ciprian Marica · 41&rsquor;","1","0","https://fbref.com/en/matches/787924f0/Freiburg-Stuttgart-January-22-2010-Bundesliga","Stuttgart","Away","Sven Ulreich",NA,"GER","GK","21-172",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
