"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW","27-301",90,1,0,0,0,5,1,0,0,54,0,1,1,0.8,0.8,0.6,5,0,26,38,68.4,0,15,1,1,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","FW","22-229",45,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,8,12,66.7,1,6,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-152",45,0,0,0,0,1,0,0,0,6,0,0,0,0.5,0.5,0,0,0,2,2,100,0,2,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LM","29-030",90,0,0,0,0,3,0,0,0,58,0,0,0,0.2,0.2,0.2,3,0,45,52,86.5,3,18,2,1,1
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","CM","32-059",90,0,0,0,0,3,1,0,0,70,0,2,2,0.1,0.1,0,4,0,54,61,88.5,5,30,3,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","25-150",90,0,0,0,0,1,0,0,0,71,1,1,2,0,0,0,2,0,46,65,70.8,3,19,1,2,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","RM","24-350",73,0,1,0,0,2,0,1,0,40,0,0,0,0.1,0.1,0.4,2,1,21,31,67.7,4,18,1,3,1
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Jonathan Schmid",7,"FRA","RM","31-319",17,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0.1,1,0,11,14,78.6,0,5,0,0,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","LB","29-068",90,0,0,0,0,1,0,0,0,59,0,0,1,0,0,0.2,6,0,45,53,84.9,7,16,1,3,0
"Fußball-Bundesliga","2022-05-07","Fußball-Bundesliga (Matchweek 33)","Freiburg","4-4-1-1",1,1.8,"Lucas Höler · 59&rsquor;","1","0","Union Berlin","3-5-2",4,2,"Grischa Prömel · 11&rsquor; Christopher Trimmel · 30&rsquor; Sheraldo Becker · 41&rsquor; András Schäfer · 89&rsquor;","2","0","https://fbref.com/en/matches/d6c40f7a/Freiburg-Union-Berlin-May-7-2022-Bundesliga","Freiburg","Home","Nico Schlotterbeck",4,"GER","CB","22-157",90,0,0,0,0,1,1,0,0,109,0,1,1,0,0,0,5,0,74,96,77.1,12,45,4,3,1
