"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Michael Gregoritsch",38,"AUT","FW","28-209",68,1,1,0,0,1,1,0,0,17,0,0,0,0.2,0.2,0.4,1,1,7,14,50,1,14,0,1,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Nils Petersen",18,"GER","FW","33-342",22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,3,66.7,0,3,0,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Vincenzo Grifo",32,"ITA","LW,LM","29-220",75,3,0,2,2,1,1,0,0,75,1,0,0,2,0.4,0,2,1,54,65,83.1,8,64,4,5,5
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Lucas Höler",9,"GER","FW","28-126",15,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,5,80,1,3,0,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Ritsu Doan",42,"JPN","RW","24-150",75,0,1,0,0,1,1,0,0,41,3,0,2,0,0,0.2,2,2,25,27,92.6,2,34,3,4,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Jeong Woo-yeong",29,"KOR","LM","23-054",15,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,15,16,93.8,0,11,0,1,1
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Christian Günter",30,"GER","LM,LB,LW","29-258",90,0,0,0,0,0,0,0,0,59,0,1,0,0,0,0,1,0,48,56,85.7,1,44,1,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Nicolas Höfler",27,"GER","CM","32-249",68,0,0,0,0,0,0,0,0,32,1,1,0,0,0,0,0,0,24,28,85.7,2,21,0,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Maximilian Eggestein",8,"GER","CM","25-340",22,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,32,36,88.9,2,32,0,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Yannik Keitel",14,"GER","CM","22-271",90,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,1,1,25,31,80.6,2,24,0,1,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Lukas Kübler",17,"GER","RM","30-075",68,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,0,0,39,47,83,0,36,2,0,0
"Fußball-Bundesliga","2022-11-13","Fußball-Bundesliga (Matchweek 15)","Freiburg","3-4-3",4,2.3,"Vincenzo Grifo (P) · 4&rsquor; Vincenzo Grifo · 6&rsquor; Vincenzo Grifo (P) · 20&rsquor; Michael Gregoritsch · 45+1&rsquor;","0","0","Union Berlin","3-5-2",1,1.7,"Diogo Leite · 19&rsquor; Sven Michel (P) · 85&rsquor;","1","1","https://fbref.com/en/matches/6f964d83/Freiburg-Union-Berlin-November-13-2022-Bundesliga","Freiburg","Home","Roland Sallai",22,"HUN","RM","25-175",22,0,0,0,0,1,0,0,0,16,0,0,1,0,0,0,0,0,13,14,92.9,0,15,1,1,1
