"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","25-276",90,1,NA,1,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Anton Putsila",NA,"BLR","MF","23-269",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","27-011",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Yacine Abdessadki",NA,"MAR","MF","30-064",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Erik Jendrišek",NA,"SVK","FW,MF","24-131",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Jonathan Jäger",NA,"FRA","FW","32-287",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Oliver Barth",NA,"GER","DF","31-151",79,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Kisho Yano",NA,"JPN","FW","26-335",11,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","22-301",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Heiko Butscher",NA,"GER","DF","30-221",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Ömer Toprak",NA,"TUR","DF","21-228",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Maximilian Nicu",NA,"ROU","DF,MF","28-101",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Freiburg","Home","Oliver Baumann",NA,"GER","GK","20-277",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Werder Bremen","Away","Sandro Wagner",NA,"GER","FW","23-097",58,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Werder Bremen","Away","Marko Arnautović",NA,"AUT","FW,MF","21-321",32,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 25)","Freiburg","4-1-4-1",1,NA,"Papiss Cissé (P) · 49&rsquor;","3","0","Werder Bremen","4-1-2-1-2",3,NA,"Sandro Wagner · 12&rsquor; Claudio Pizarro · 76&rsquor; Marko Marin · 90&rsquor;","6","0","https://fbref.com/en/matches/7629c0c4/Freiburg-Werder-Bremen-March-6-2011-Bundesliga","Werder Bremen","Away","Claudio Pizarro",NA,"PER","FW","32-154",90,1,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
