"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","24-326",86,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","28-223",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Mohammadou Idrissou",NA,"CMR","FW","30-048",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","26-061",77,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Ömer Toprak",NA,"TUR","DF","20-278",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Johannes Flum",NA,"GER","MF","22-132",82,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Daniel Caligiuri",NA,"ITA","DF,FW","22-100",8,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Jonathan Jäger",NA,"FRA","FW","31-337",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Julian Schuster",NA,"GER","MF","25-010",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 32)","Freiburg","4-1-4-1",1,NA,"Cédric Makiadi · 38&rsquor;","0","0","Wolfsburg","4-4-2",0,NA,"","2","0","https://fbref.com/en/matches/a4054698/Freiburg-Wolfsburg-April-25-2010-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","21-351",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
