"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Papiss Cissé",NA,"SEN","FW","25-261",77,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Kisho Yano",NA,"JPN","FW","26-320",13,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Maximilian Nicu",NA,"ROU","DF,MF","28-086",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Jan Rosenthal",NA,"GER","FW,MF","24-318",40,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Stefan Reisinger",NA,"GER","FW","29-158",50,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Johannes Flum",NA,"GER","MF","23-067",84,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Ömer Toprak",NA,"TUR","DF","21-213",6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Anton Putsila",NA,"BLR","MF","23-254",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Cédric Makiadi",NA,"COD","MF","26-361",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Freiburg","4-1-4-1",2,NA,"Stefan Reisinger · 43&rsquor; Papiss Cissé · 70&rsquor;","3","0","Wolfsburg","4-2-3-1",1,NA,"Patrick Helmes · 28&rsquor;","0","0","https://fbref.com/en/matches/3b47f37b/Freiburg-Wolfsburg-February-19-2011-Bundesliga","Freiburg","Home","Felix Bastians",NA,"GER","DF,MF","22-286",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
