"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Cedric Itten",19,"SUI","FW","24-258",90,0,0,0,0,3,3,0,0,27,0,1,0,0.1,0.1,0.1,1,0,3,13,23.1,0,8,0,1,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Branimir Hrgota",10,"SWE","FW","28-242",67,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,3,0,7,13,53.8,3,7,1,2,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Dickson Abiama",11,"NGA","FW","22-312",23,0,0,0,0,1,1,0,0,6,1,0,1,0.1,0.1,0,0,0,1,2,50,0,4,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Julian Green",37,"USA","LM","26-097",59,0,0,0,0,0,0,0,0,23,1,1,1,0,0,0.1,3,0,10,15,66.7,2,7,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Max Christiansen",13,"GER","LM","24-351",31,0,0,0,0,0,0,0,0,9,0,3,1,0,0,0,0,0,2,4,50,1,3,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Paul Seguin",33,"GER","CM","26-166",90,0,0,0,0,1,0,1,0,52,0,1,0,0.1,0.1,0,3,0,30,46,65.2,6,21,1,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Sebastian Griesbeck",22,"GER","CM","30-343",90,0,0,0,0,0,0,1,0,33,4,0,0,0,0,0,1,0,18,23,78.3,5,12,0,2,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Håvard Nielsen",16,"NOR","RM","28-058",78,0,0,0,0,1,0,0,0,24,3,1,1,0,0,0,1,0,6,8,75,0,16,0,1,1
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Jamie Leweling",40,"GER","RM","20-197",12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,0,2,0,1,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Jetro Willems",15,"NED","LB","27-165",67,0,0,0,0,0,0,0,0,26,2,3,0,0,0,0,0,0,15,17,88.2,2,9,0,1,1
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Abdourahmane Barry",32,"GUI","RB","21-202",23,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,4,9,44.4,0,4,1,1,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Nick Viergever",24,"NED","CB","32-039",90,0,0,0,0,0,0,0,0,32,0,1,2,0,0,0,0,0,14,25,56,1,8,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Maximilian Bauer",4,"GER","CB","21-214",90,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,21,34,61.8,1,21,1,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Marco Meyerhöfer",18,"GER","RB,LB","25-297",90,0,0,0,0,1,0,0,0,49,4,1,5,0,0,0,3,0,19,32,59.4,2,12,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Greuther Fürth","Home","Sascha Burchert",30,"GER","GK","31-316",90,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,13,27,48.1,0,15,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Wout Weghorst",9,"NED","FW","29-035",90,1,1,1,1,0,0,1,0,39,3,0,0,0.8,0,0.2,1,1,24,31,77.4,4,22,1,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Luca Waldschmidt",7,"GER","LW,AM","25-115",90,0,0,0,0,2,0,0,0,53,2,1,1,0.2,0.2,0,2,1,33,41,80.5,2,32,2,5,3
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Lukas Nmecha",10,"GER","RW,LW","22-271",80,1,0,0,0,2,1,0,0,41,1,1,1,0.3,0.3,0.1,2,0,17,29,58.6,7,23,1,2,2
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Renato Steffen",11,"SUI","LW","29-312",10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,7,9,77.8,1,8,1,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Maximilian Philipp",17,"GER","AM","27-194",66,0,0,0,0,0,0,0,0,41,0,1,0,0,0,0.1,2,0,22,33,66.7,3,24,0,4,2
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Dodi Lukebakio",28,"BEL","RW,AM","23-352",24,0,0,0,0,0,0,1,0,12,1,1,0,0,0,0,0,0,5,8,62.5,0,7,0,0,0
"Fußball-Bundesliga","2021-09-11","Fußball-Bundesliga (Matchweek 4)","Greuther Fürth","4-4-2",0,0.3,"","2","0","Wolfsburg","4-2-3-1",2,1.4,"Lukas Nmecha · 10&rsquor; Wout Weghorst (P) · 90+1&rsquor;","3","0","https://fbref.com/en/matches/ab5fbcdf/Greuther-Furth-Wolfsburg-September-11-2021-Bundesliga","Wolfsburg","Away","Maximilian Arnold",27,"GER","DM","27-107",90,0,0,0,0,0,0,0,0,52,0,1,0,0,0,0,0,0,44,45,97.8,3,31,0,1,1
