"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Mladen Petrić",NA,"CRO","FW","29-050",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Marcus Berg",NA,"SWE","FW","23-187",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Tunay Torun",NA,"TUR","FW,MF","19-305",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Guy Demel",NA,"CIV","DF,MF","28-252",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Tomás Rincón",NA,"VEN","MF","22-038",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Zé Roberto",NA,"BRA","DF,MF","35-229",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Piotr Trochowski",NA,"GER","MF","25-335",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Marcell Jansen",NA,"GER","DF,MF","24-108",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Joris Mathijsen",NA,"NED","DF","29-321",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","David Rozehnal",NA,"CZE","DF","29-230",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Jérôme Boateng",NA,"GER","DF","21-170",63,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Jonathan Pitroipa",NA,"BFA","FW,MF","23-314",27,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Hamburger SV","Home","Frank Rost",NA,"GER","GK","36-235",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 23)","Hamburger SV","4-4-2",0,NA,"","2","0","Eintracht Frankfurt","4-4-1-1",0,NA,"","3","0","https://fbref.com/en/matches/43f6bf43/Hamburger-SV-Eintracht-Frankfurt-February-20-2010-Bundesliga","Eintracht Frankfurt","Away","Halil Altıntop",NA,"TUR","FW,MF","27-074",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
