"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Tunay Torun",NA,"TUR","FW,MF","19-270",76,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Marcus Berg",NA,"SWE","FW","23-152",14,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Mladen Petrić",NA,"CRO","FW","29-015",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Marcell Jansen",NA,"GER","DF,MF","24-073",90,1,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Robert Tesche",NA,"GER","MF","22-234",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","David Jarolím",NA,"CZE","MF","30-244",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Piotr Trochowski",NA,"GER","MF","25-300",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Dennis Aogo",NA,"GER","DF,MF","23-002",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","Joris Mathijsen",NA,"NED","DF","29-286",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 18)","Hamburger SV","4-4-2",2,NA,"Marcell Jansen · 7&rsquor; Mladen Petrić · 55&rsquor;","0","0","Freiburg","4-4-2",0,NA,"","0","0","https://fbref.com/en/matches/7a56bc85/Hamburger-SV-Freiburg-January-16-2010-Bundesliga","Hamburger SV","Home","David Rozehnal",NA,"CZE","DF","29-195",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
