"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Mladen Petrić",NA,"CRO","FW","28-241",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Paolo Guerrero",NA,"PER","FW","25-241",86,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Robert Tesche",NA,"GER","MF","22-095",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Eljero Elia",NA,"NED","FW,MF","22-198",89,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Jonathan Pitroipa",NA,"BFA","FW,MF","23-140",1,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Zé Roberto",NA,"BRA","DF,MF","35-055",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","David Jarolím",NA,"CZE","MF","30-105",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Piotr Trochowski",NA,"GER","MF","25-161",86,1,NA,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Marcus Berg",NA,"SWE","FW","23-013",4,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 4)","Hamburger SV","4-4-2",3,NA,"Paolo Guerrero · 19&rsquor; Paolo Guerrero · 66&rsquor; Piotr Trochowski (P) · 87&rsquor;","0","0","Köln","4-3-3",1,NA,"Adil Chihi · 76&rsquor;","2","0","https://fbref.com/en/matches/8f2491d9/Hamburger-SV-Koln-August-30-2009-Bundesliga","Hamburger SV","Home","Dennis Aogo",NA,"GER","DF,MF","22-228",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
