"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Mladen Petrić",NA,"CRO","FW","30-046",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Ruud van Nistelrooy",NA,"NED","FW","34-230",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Paolo Guerrero",NA,"PER","FW","27-046",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Marcell Jansen",NA,"GER","DF,MF","25-104",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Eljero Elia",NA,"NED","FW,MF","24-003",45,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Zé Roberto",NA,"BRA","DF,MF","36-225",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","David Jarolím",NA,"CZE","MF","31-275",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Änis Ben-Hatira",NA,"TUN","MF","22-213",71,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Jonathan Pitroipa",NA,"BFA","FW,MF","24-310",19,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 21)","Hamburger SV","4-4-2",0,NA,"","4","0","St. Pauli","4-2-3-1",1,NA,"Gerald Asamoah · 59&rsquor;","2","0","https://fbref.com/en/matches/b6c73eac/Hamburger-SV-St-Pauli-February-16-2011-Bundesliga","Hamburger SV","Home","Dennis Aogo",NA,"GER","DF,MF","24-033",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
