"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Didier Ya Konan",NA,"CIV","FW,MF","25-191",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-043",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Mike Hanke",NA,"GER","FW","26-024",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Jan Rosenthal",NA,"GER","FW,MF","23-236",85,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Valdet Rama",NA,"ALB","FW,MF","22-009",5,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Arnold Bruggink",NA,"NED","FW,MF","32-128",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Jiří Štajner",NA,"CZE","FW,MF","33-186",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Hanno Balitsch",NA,"GER","MF","28-331",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-259",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 14)","Hannover 96","4-1-4-1",0,NA,"","0","0","Bayern Munich","4-4-2",3,NA,"Thomas Müller · 19&rsquor; Ivica Olić · 47&rsquor; Mario Gómez · 90&rsquor;","0","0","https://fbref.com/en/matches/bd5094a7/Hannover-96-Bayern-Munich-November-29-2009-Bundesliga","Hannover 96","Home","Christian Schulz",NA,"GER","DF,MF","26-242",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
