"League","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Game_URL","Team","Home_Away","Player","Player_Num","Nation","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Fls","Fld","Off","Crs","TklW","Int","OG","PKwon","PKcon"
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Mike Hanke",NA,"GER","FW","26-044",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Jan Schlaudraff",NA,"GER","FW,MF","26-154",90,2,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Arnold Bruggink",NA,"NED","FW,MF","32-148",88,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Mario Eggimann",NA,"SUI","DF","28-329",2,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Constant Djakpa",NA,"CIV","DF","23-063",87,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Florian Büchler",NA,"GER","FW","21-057",3,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Sérgio Pinto",NA,"POR","FW,MF","29-064",67,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Valdet Rama",NA,"ALB","FW,MF","22-029",23,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Hanno Balitsch",NA,"GER","MF","28-351",90,0,NA,0,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,0,NA,NA
"Fußball-Bundesliga","Fußball-Bundesliga (Matchweek 17)","Hannover 96","4-1-2-1-2",2,NA,"Jan Schlaudraff · 6&rsquor; Jan Schlaudraff · 33&rsquor;","3","0","Bochum","4-2-3-1",3,NA,"Paul Freier · 51&rsquor; Joël Epalle · 54&rsquor; Christian Fuchs · 86&rsquor;","2","0","https://fbref.com/en/matches/b86fbafa/Hannover-96-Bochum-December-19-2009-Bundesliga","Hannover 96","Home","Konstantin Rausch",NA,"RUS","DF,MF","19-279",90,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA
